,score,comment
0,5,"Coloquei em uma caixa bob, esta me atendendo 100% produto top. 
Para conhecimento o infra vermelho tem que ficar aproximo e apontado para o infra vermelho do aparelho. 
Desta forma vc não terá problemas com os comandos do controle. 
Infelizmente não tenho como postar uma foto, acredito que isso ajudaria muito na duvida da instalação."
1,5,"Gostei fácil instalação. No começo não funcionou, dai vi uma dica na net de aperta na central e 3x pro lado no controle. Dai jah funcionou não sei se foi conhecidencia ou nao mais ta funcionando bem."
2,1,Péssimo. Não chega a 15 metros de distância e só funciona quando quer. Nem o básico de ligar e aumentar volume faz. O meu é multimidia. Arrependi de comprar. Agora o multímetro é perfeito. Somente.
3,5,"Produto show de bola por enquanto. Não posso opinar pela duração, mas no momento está funcionando certinho e é controlável a uma boa distância mesmo. Recomendo."
4,5,Muito bom eselente acabamento amei gostei muito mesmo super recomendo tem muitas funçoes top top mesmo eu usava um jfa mais este me surpreendeu.
5,1,"Comprei o produto no final de dezembro de 2021 e só fui instalar hoje 31/03/2022, ao instalar o mesmo não funciona."
6,5,Muito bom controle e voltímetro perfeito eu já tinha usado esse modelo vendi meu som com ele e voltei a comprar do mesmo.
7,1,No título  consta 500m. Mas na descrição  do controle está  até  200m. Comprei achando  que era como estava  no título. Não fique  satisfeito.
8,3,Produto veio como anunciado só essa distância que dizem pra pegar só se colocar no teto do carro pra pegar os 200 metros.
9,5,"Ainda não instalei, porem já conheço a marca e o produto. Ja tinha instalado em outros projetos. Aparelho excelente. Show de bola!!."
10,3,Produto muito bonito pena que não foi compatível com meu dvd pósitron deveria ter mais código para sincronizar com o dvd pósitron.
11,5,"Boa tarde!. 
Meu aparelho avh-288bt eu tinha dúvida se ia aceitar. 
Aceitou muito bem realmente funciona tô muito feliz  parabéns."
12,5,"Excelente produto, nota 10, só precisa deixar o sensor bem apontado para o rádio que realmente alcança muito longe. Show."
13,5,O produto e bom só qui o meu veio com a bateria descarregada mais tirado isso e muito bom.
14,4,"Produto bom, porém venho com a bateria do controle morta, quase achei que o produto estava danificado."
15,5,Muito bom recomendo com este já é 2 que comprei muito bom atede bem recomendo pode comprar.
16,5,Muito bom produto de qualidade excelente testei com 200 m de distância funcionou excelente mesmo gostei muito.
17,5,"Muito bom melhor do q eu esperava, veio tudo certo do geito q tava escrito na descrição."
18,5,"Produto de uma exelente qualidade,superou todas as minhas espectativas,um otimo negocio,com custo e beneficio."
19,5,Top só veio com a capa de proteção do controle de outra cor. Mas fora excelente.
20,4,"Até agora não apresentou defeito, mas no entanto é bem prático e fácil manoseio recomendo."
21,3,Muito bom só a cor que veio errada ao inves de grafite mandaram o amarelo.
22,5,Bom acabamento porém não vou opinar pela qualidade na utilização pois não usei muito.
23,5,"Produto de boa procedencia facil estalaçao, pega muito bem  pod compra que é top."
24,3,Produto muito bom só dei três estrelas porque pedi ele cinza ele veio azul.
25,5,Produto muito top de linda esse é bem mais completo do que tinha.
26,5,"Produto de otima qualidade e preços  muito bom , parabéns eu gostei e recomendo."
27,5,Top demais o produto  ja conhece comprei pq já usada um desse ai.
28,5,"Produto muito bom, a metragem e qualidade do mesmo, respondeu as minhas expectativas."
29,5,Muito bom super recomendo boa qualidade vale a pena compre o seu.
30,5,Excelente sem palavra ótima qualidade pode comprar q não vai se arrepender.
31,5,Excelente sem palavra ótima qualidade pode comprar q não vai se arrepender.
32,4,Gostei muito do apae na pai muito ótimo muito bom de usar.
33,5,Um produto de excelente qualidade gostei muito superou as minhas expectativas show.
34,5,"Exelente recomendo a todos que desejam ter um,produto de boa qualidade."
35,5,Esse controle muito top na opinião o melhor controle de longa distancia.
36,5,"Controle original e de ótima qualidade, muito fácil a instalação e manuseio."
37,5,Produto muito bom recomendo atende todas as necessidades longo alcance. Top top.
38,5,O produto e muito bom e é super facil de instalar.
39,5,"Produto ótimo, o mercado livre obriga escrever mais que o necessário."
40,5,Ótimo nota 10 chou de bola vou aconselha meus amigos comprar.
41,5,"Produto  bom , pra quem não se importar  o tamanho  bom acabamento."
42,5,"Muito bom, já instalado sem problemas recomendo pode comprar sem medo."
43,1,"Veio na cor azul, sendo que eu comprei na cor cinza."
44,1,Venho outro controle. Preste atenção para nao erra da proxima vez.
45,5,Muito bom ta de parabéns o produto e de ótima qualidade.
46,4,Muito bom um produto ja era de espera a qualidade.
47,5,Ótimo pega muito bem indico pode comprar que é bom.
48,5,"Excelente, produto do jeito q pedi e de ótimo qualidade."
49,5,"Otimo produto,preço acessível é  a terceira vez q comproo."
50,4,Muito bom mesmo em o controle recomendo veio tudo certinho.
51,5,"Daria cinquenta estrela, em questao de funcionalidade e acabamento, recomendo."
52,5,O controle e top demais longa distância é ele top.
53,1,O produto e não quis conectar no som do carro.
54,5,Maravilha bom de mais. Ja emdiquei. Alguns dos meus amigos.
55,5,"Muito top e compacto recomendo, não tem segredo pra inalação."
56,5,Muito bom gostei  do produto  vale a pena pelo preço.
57,1,Ótimo gostei muito do produto voltarei a compra mas vezes.
58,5,Ainda nao testei mais pelo q conheço e bom.
59,4,Ainda não usei mas aparenta ser bom o produto.
60,4,"O produto funciona bem, tem muita potencial na transmissão."
61,1,Muito bom mesmo eu recomendo pra quem quiser comprar.
62,5,Gostei bastante do produto veio certinho e bem top.
63,5,Não usei ainda mais sei que e muito bom.
64,4,A batera veio fraca. Mais funcionou com uma nova.
65,5,"O produto e muito bom. 
Veio conforme a descisao."
66,1,Comprei na cor grafite e veio na cor vermelha.
67,5,"Gostei bastante. Prático funciona perfeitamente, cumpre o q promete."
68,1,"Veio com defeito. 
Uma porcaria só boniteza. 
N presta."
69,5,Ótimo produto  era do que eu está a procura.
70,5,Produto de alta qualidade so compro dessa marca!! recomendo!!.
71,5,Muito top em qualidades  um dos melhores no mercado.
72,5,"Ótimo produto, muito lindo, pratico e fácil de instalar."
73,5,Ótimo  produto  top de mais de alta qualidade.
74,5,Top muito bom o melhor controle longa distância.
75,5,"Sobre o produto nota dez, pois é indiscutível."
76,5,Ótimo pode comprar galera gostei de mais top.
77,5,Gostei muito demais muito ótimo o controle parabéns.
78,5,"Muito bom, funciona perfeitamente, fácil de instalar, recomendo."
79,1,Muito bom gostei estalei e tá muito bom.
80,5,Muito bom gostei desse produto ele é perfeito.
81,3,Ainda vou instalar. Mais sei que é bom.
82,5,Muito boom obrigado parabéns veio na cor certaa.
83,5,Até agora está excelente produto de perfeita qualidade.
84,5,"Ótimo produto. 
Já instalei e está funcionando perfeitamente."
85,3,Funciona bem mas deixa a desejar no acabamento.
86,5,"Produto top! ótima qualidade, instalei e ficou show."
87,4,"Ótimo, já indiquei pra meu amigo e irmão."
88,5,Muito ótimo gostei demais sou fã dessa marca.
89,5,Produto muito bom  recomendo ótimo acabamento e qualidade.
90,5,"Muito bom esse controle, produto de otima qualida."
91,5,Muito bom mesmo eu recomendo muito bom.
92,2,Muito bom gostei muito principalmente do voltímetro.
93,5,Excelente ótimo acabamento e  um design moderno.
94,5,Muito bom o produto e de qualidade.
95,5,"Produto muito bom, super indico. Ótima qualidade."
96,5,Gostei e a entraga foi muito boa.
97,5,Muito bom  muito obrigada pelo o produto.
98,5,"Estou satisfeito, do mesmo que eu queria!!."
99,5,"Produto bom e de qualidade, super indico."
100,5,"O produto aro espaçador foi perfeito e compatibilizou bem nas portas dianteiras da minha meriva 2010, a furação combinou com as existentes na porta, não precisando furar nada, encaixe perfeito e cumpriu o propósito de obter a distância entre o vidro do carro e o fundo do alto falante."
101,4,"O produto é bom, tem que ter cuidado para as medidas, observar certinho antes de efetuar a compra, o material é ok pelo preço. Gostei,mas é um pouco mais grosso do que imaginava."
102,4,"Alargador plastico para falantes de 6"". Produto atende as necessidades e fica com um ótimo acabamento! acredito que não de para utilizar em falantes de 5, somente de 6""."
103,2,"Produto muito flexível, esperava que fosse mais firme, alem disse não tem película para não arranhar ou amortecer o alto falante ou para não arranhar a porta!."
104,4,Bom bem feito na medida certa recomendo ajuda na qualudade do som por dar um abafamendo para o auto falente. Abração.
105,5,Atende perfeitamente ao que se propõe. Além disso a qualidade do material é boa e proporciona um acabamento muito bom. Gostei.
106,2,"Comprei mas, acabei não usando porque estava empenado. 
Poderia até ter utilizado mas, optei em outra forma de instalação."
107,3,"Produto atende, entretanto ´não é flexível para facilitar a colocação, m as vale para o que se pretende."
108,5,"O produto é bom maior do que eu pensava mas ótimo produto, coube certinho atendeu minhas necessidades."
109,5,"Excelente, resolveu meu problema, de colocar alto falante na porta do meu fusca. Simples e barato."
110,3,"Achei o produto bem intensante embora vai deixar o falante sobre posto na caixa, mas resolve!."
111,4,Produto serviu para o que foi indicado! furos fora do ponto exato mas deu certo.
112,5,Top muito legal mais não serve no fiesta zetc rocan ficou perfeito nobhol g6.
113,5,"Produto de ótima qualidade, bem acabado encaixa perfeitamente nos alto falantes."
114,4,"Bom produto poderia ser maciço, mas está bom igual recomendo."
