,score,comment
0,4,"Foi presente para as  sobrinhas, segundo elas ele e pesadinho, muito bem trabalhado  um charme, as cordas são boas apesar de aparentarem finas segundo minha irmã suporta muito bem. E envernizado apenas a madeira  do assento, os toquinhos da lateral nao são, so por isso nao ganhou nota maxima no meu conceito, mas nao e nada que vc mesma nao possa comprar um verniz e passar a fim de garantir uma maior durabilidade. Mas fica a dica pro fabricante!."
1,5,"Balanço bonito, bem montado e bastante resistente. A madeira é de boa qualidade, bem lixada e envernizada com esmero. 
Sem trincados, farpas, nós soltos ou pontas vivas. Feito para crianças se divertirem sem tirar o sono dos pais. Rsrsrsrs. 
Uso com crianças menores e maiores sem quaisquer preocupações. 
Plenamente satisfeito com a compra e recomendo a todos no ml!."
2,4,"Diversão garantida. Fácil de instalar e com uma boa aparência. Talvez o acabamento dos furos por onde a corda em nylon passa pudesse ser melhor trabalhado para que as partes raspassem menos na corda. Com pouquíssimo uso, as cordas já estão com sinais de desgaste."
3,4,"A minha neta amou. Nós consideramos a corda um pouco fraca e veio como se desfiando um pouco no meio e extremidades, o que provavelmente com tempo tenhamos que trocar a corda até por que tem uso diário."
4,5,"Excelente produto. Nenhuma farpa de madeira, as cordas sem danos, tudo envernizado direitinho. Podem comprar, vale muito a pena ver o sorrisão das crianças balançando em segurança. Nós aqui amamos, logo eu compro o maiorzinho."
5,4,O produto é muito bom. Bom acabamento. Mas achei muito difícil de pendurar ajustando as cordas. Se fosse duas pontas em vez de 4 seria melhor. Gastei com acessórios para conseguir alinhar as alturas.
6,5,"Produto de excelente qualidade, corda comprida e forte, madeira com acabamento perfeito! valeu muito a compra, minha filha de dois anos ficou super confortável, e tem espaço pra usar por mais um bom tempo."
7,5,"Excelente, igualzinho na foto, achei resistente, ótimo acabamento,corda resistente e comprida ,tenho 61 kg e suportou o meu peso,meu netinho amou,com certeza vai servir pra outros netos que viram!."
8,5,"Ótima qualidade, produto bem resistente e a corda que acompanha o balaço é perfeita! meu filho de 2 anos amou e até eu me balanço nela kkkk superou as expectativas!!!."
9,5,"Amei!! produto igual da foto, vem envernizado. Perfeito! só não sei se cabe uma criança de 100kg pq o acento é pequeno. Mas acredito q aguente pq é resistente."
10,5,"Cadeirinha de balanço rústica, porém nada fora do prometo nas fotos! meu filho com autismo adorou! muito obrigado! um plus seria colocar kit de ferragem para instalação em apartamento!."
11,5,"Muito bom, minha filha não sai do balanço agora. De dia e de noite ela vem ""papai, que balanço"". Melhor investimento do mundo foi comprar esse balanço."
12,4,"Muito bom,só não dei 5 estrelas pq a parte que passa a corda não está muito muito bem lixada aí está estragando a corda."
13,4,"Gostei do balanço. Bom tamanho, seguro. Só faltou verniz pra proteger pois é pra ficar em ambiente externo e vai estragar se deixado na chuva."
14,5,"Esse balanco e perfeito! lindo, seguro, bem acabado!!! adorei! ate minha bebe de 8 meses anda nele, alem da mais velha de 4 anos."
15,5,"Perfeito, vi alguns comentarios dizendo sobre a lateral naonter veniz mais o meu veio tudo. Vernizado acabamento perfeito,  meus bebes amaram."
16,5,Otimo produto! meu filho amou. A unica dica que dou é ivernizar as madeiras de cima tambem nao so o assento.
17,5,"O produto é muito bom, bem acabado , parece de alta qualidade, fiquei muito satisfeita. Ainda não coloquei no uso."
18,5,"Amamos o produto, é bem acabado com as cordas grande e firme, o balanço veio envenizado igual a foto."
19,5,Muito bom! é exatamente como a foto. Instalando corretamente o uso fica perfeito. Mas só recomendo para crianças pequenas.
20,5,"O balanço é lindo! muito bem feito, acabamento perfeito e ótimo material,  tanto a madeira qnto as cordas. 
Amamos!!."
21,5,"Além de lindo é bem resistente, meu filho amou. 
Super fiel a foto, podem comprar feito com todo capricho."
22,4,"Gostei muito da cadeirinha, mas acho que poderia ser um pouco mais larga. Crianças mais gordinhas não cabem."
23,5,"Muito bom, bem construído, bem acabado. As cordas tem tamanho bom e permite ancorar em lugares mais altos."
24,5,"Material e acabamento perfeito, as cordas vem bem compridas para colocar a  altura ideal para criança brincar."
25,4,Produto de excelente qualidade. Minha sugestão é para que a corda que suspende o balanço seja maior.
26,5,"Excelente produto, recomendo pois meu filho gostou tanto q ñ quer nem sair do balanço. Muito satisfeita."
27,5,"Balanço e lindo, muito bem feito, acabamento impecável, super resistente meu sobrinho e meu filho amou."
28,4,"Muito bom, serviu perfeito pra o que se propõe. É a diversão favorita dos meus bebês."
29,5,"Lindo, podem comprar sem medo, o nenem de 01 e meio amou, seguro e bem feito."
30,5,"Balanço de excelente qualidade geral, bom acabamento e acompanhado de cordas resistentes e metragem na medida."
31,4,"Produto bom. Podiam apenas passar um verniz na madeira que vem crua, pois fica uns fiapos."
32,5,"Lindo e bem acabado em casa detalhe, minhas folhas amaram os balanços! foi uma compra maravilhosa."
33,5,Gostei muito. Ainda não instalei. Espero que seja resistente e que minha neta se divirta muito.
34,5,"Ótimo! tamanho muito bom, madeira muito boa e a corda é bem resistente! gostei muito."
35,5,"Muito bem feito! o balanço é muito bem feitinho, bonito e resistente. Meus filhos adoraram!."
36,5,Dei o balanço de presente para o meu neto e gostaram muito. Não vi pessoalmente.
37,5,"Bem resistente, e pratico para montar, meus filhos amaram,valeu  a pena a  compra."
38,5,Excelente produto adorei  balanço realmente igual da foto material bom cordas são bem resistente.
39,5,Melhor q eu esperava. Ja veio envernizada mto linda e segura. Porém é pequena.
40,5,Acabamento perfeito! adoramos aqui em casa. Me balancei para testar e foi bem resistente.
41,5,Bom material. Achei a corda fina mas diz aguentar 80kg. Até agora tudo certo.
42,4,"Satisfeita com o produto, por enquanto. Sugiro uma explicação da melhor forma para instalação."
43,5,Ótimo. Muito bem feito e bem acabado vai durar muito tempo meus sobrinhos adoram.
44,5,"Material de ótima qualidade, se ainda estiver em dúvida, pode comprar sem medo!."
45,5,"Material de qualidade, madeiras previamente envernizadas. Boa altura dos encostos pare evitar tombamentos."
46,4,"Gostei mto do produto , bem reforçada a corda o material da madeira tbm."
47,5,Muito bom! exatamente conforme anunciado. Minhas netas já estão se divertindo com ela.
48,5,"Eu amei,muito  bom material de qualidade,super indico,minha filha tá apaixonada."
49,5,"Muito linda, resistente. Perfeita e vai durar muitos anos. Minha filha amou."
50,5,Maravilhoso amei muito lindo e de boa qualidade eu recomendo excelente compra.
51,4,Muito bom eu indicaria produto com a qualidade e de facil instalação.
52,5,"Produto de boa qualidade, bem acabado e corda grande conforme descrição. Indico!."
53,5,O produto 100% de qualidade e voces estao de parabens pela rapidez.
54,4,"Trabalho super bem feito, acabamento bom e bem pintado. Minha filha ama!."
55,5,"Muito bom, bem resistente. Minha filha adorou! as cordas sao muito fortes."
56,5,"Minha neta adorou,não tem nem 2 anos e,já sobe sozinha."
57,5,Está fazendo sucesso aqui em casa! produto bom e super bem feito!.
58,5,Ótimo. Meu neto adorou e não quer sair mais do balancinho.
59,5,Produto feito com capricho! fiquei muito satisfeito e meu filho adorou!!.
60,5,"Excelente balanço, ótimo material, corda de boa qualidade, meu filho amou!!."
61,5,Ótima balança. Vem acabada. As crianças adoraram e fiquei super satisfeito.
62,3,"Produto bom, mas as laterais nao vem lixadas e nem pintadas."
63,5,Produto exatamente como informado no site. Bem acabado e bom.
64,5,"Produto de boa qualidade,  e bonito. Minha filha amou. Recomendo!."
65,5,"Amei! como eu esperava, ótimo material e muito bem feito."
66,4,Produto de boa qualidade e que atendeu as minhas expectativas.
67,5,"Muito show, parece bem resistente e feito com muito carinho!!!."
68,5,Produto muito bom bonito e bem acabado. Meu sobrinho adorou.
69,5,Muito bom. Meu filho de um ano amou. Super recomendo.
70,5,"Ótima qualidade,e muito lindo , a corda é bem longa."
71,5,Era o q eu esperava e meu filho gostou muito.
72,5,"Amei ! quanto capricho, minhas filhas adoraram. Vale muito a pena ! ?."
73,5,"Ainda não foi usado, mas gostei muito, bem acabo. Parabéns !!."
74,5,"Exatamente o que eu precisava,muito bem feita e acabada."
75,5,Produto de ótima qualidade muito bem feito. Minha filha amou.
76,5,O balanço é muito bom e bonito. Minha filha adorou.
77,5,"Produto com ótimo acabamento. 
E parece ser de boa qualidade."
78,5,"A cadeirinha é confortável e resistente, as crianças se divertem."
79,5,"Ecelente. 
Muito boa prática e um material de qualidade."
80,5,Muito lindo o balanço. Um charme meu filho adorou!!!.
81,5,Muito lindo envernizado top de linha meu bb amou.
82,5,"Produto muito bom! valeu a compra, meus filhos adoraram!."
83,5,Muito bom. Valeu apena. Pode comprar porq vem mesmo.
84,5,"Acabamento perfeito, bem estruturado, seguro e de fácil utilizacao."
85,5,O produto é bom. Meus netos adoraram o balanço.
86,5,"Linda!!. 
Super resistente. 
Minha neta amou. 
Superou as expectativas."
87,5,"Maravilhoso! balanço bem feito, ótimo acabamento, fácil de pendurar!."
88,4,Excelente muito satisfeito. Indico sim a quem estiver interessado.
89,5,"Muito bom, parece ser bem seguro para as crianças."
90,5,"Produto de boa qualidade, muito bom. Minha filha adorou."
91,5,"Produto de excelente qualidade, super recomendo, minha afilhada amou ??."
92,5,"Bem adequado à utilização de crianças, principalmente pela segurança. Obrigada."
93,5,"Ótimo produto, madeiras super resistentes e cordas também. Recomendo."
94,5,Maravilhoso. Otima qualidade. Corda bem forte. Otimo acabamento. Adorei.
95,5,"Ameiiii, meu netinho amou, é perfeito comprem sem medo."
96,5,É o que esperava ótimo acabamento uma ótima compra.
97,5,Valeu cada centavos material muito bom e bem acabado!.
98,5,Muito bem produzido! material resistente e bom acabametno.
99,5,Amei. Bem feito e resistente. As crianças adoraram.
100,5,Minha filha amou a cadeirinha bastante resistente também.
101,5,"Excelente produto, belo acabamento, bem seguro e reforcado,."
102,4,"Muito bonito e bem feito , meu sobrinho amou."
103,5,Adorei. Atendeu as minhas expectativas. Recomendo a compra.
104,5,Produto de ótima qualidade ! ideal para crianças brincarem.
105,5,Está de parabéns o balanço é de qualidade.
106,5,"Produto bonito, bom acabamento e de boa qualidade."
107,4,"Bom, forte, gostei da compra, recomendaria o produto."
108,4,Bom produto podem comprar nao vao se arrepender.
109,5,"Amei, meu filho adorou. Material de boa qualidade."
110,5,"Podem comprar que é maravilhoso, minha filha adorou!."
111,5,Adorei muito lindo e forte minha filha amou.
