,score,comment
0,5,"Chegaram super rápido e a criança, de 02 anos adorou, e soube brincar instantaneamente. As peças no conjunto de sorvete são um pouco pequenas e não consegui entender como fazer as velas ficarem ""acesas"" para cima. Mas, tirando isso, qualidade ok! os ""jogos americanos"" são pedaços de papelão."
1,5,"Excelente! é um brinquedo que permite o uso da criatividade e da imaginação, além do desenvolvimento motor da mão e da inteligência."
2,5,"Adorei, peças resistentes, meus filhos de 2 e 3 anos amaram. Compensa muito."
3,5,Muito bom. Minha bb amou o brinquedo.
4,5,"Bem legal os brinquedos, meus filhos adoraram!!!."
5,5,"Ótima qualidade, resistente e bonitas peças."
6,4,"Eu esperava que todas as luzes ligassem inclusive os faróis. 
Só funciona a cirene. 
O importante é que o meu filho gostou mais ele perguntou porque os faróis não ligava. Eu falei que era montagem de fábrica. Por isso eu dou 4 estrelas."
7,1,"Qualidade muito ruim pelo valor que paguei , na shopee esta com menos da metade do preço , achei que por esta mas caro aqui o produto seria de melhor qualidade ,só não vou devolver pq meu filho ja viu e criança  não intende."
8,5,"Ainda é cedo para avaliar, pois quem irá avaliar mesmo é o policial que é o meu neto de quase 4 anos. Será um presente de páscoa para ele. Mas tenho certeza que gostará, pois passou pelo crivo do vovô."
9,5,"Muito bacana, meu filho tem 3,7 meses, adorou o carro de polícia, não é tão barulhento e o som é bem nítido e além do som abre as portas dianteiras e os pneus são de borracha, recomendo a todos!!."
10,4,"O carro de policial é legal porém não vou dar nota 5 porque soltou as duas lanternas do carro e eu tive que colar com cola, fora isso gostei."
11,5,"Meu filho de 3 anos adorou. O brinquedo foi até jogado na piscina por ele , e ainda assim continuou funcionando. Caiu algumas vezes no chao e continuou inteiro!!!."
12,5,"Meu sobrinho com 3 anos amou o carro! é bem interativo. Tem som buzina, sirene, ré e ligar o carro. As portas abrem. É fricção."
13,5,"Brinquedo de boa qualidade com sons que agradam as crianças, sendo fáceis de manusear e resistentes. Meu netinho adorou. Boa compra."
14,1,Nao acende a luz nao faz barulho de cirene nada funciona comprei novas bateria porem nem sinal de vida decepcao.
15,5,"Boa qualidade. Meu filho de 2 anos amou. Funciona bem, as portas abrem, tem friccao. Muito bom o produto."
16,5,"Muito legal esse carrinho. Meu neto adorou!  e o som não fica muito tempo ligado, o que é ótimo."
17,5,"Muito legal! meu afilhado de 2 anos adorou. Anda beeem rápido com fricção, tanto pra frente quanto para trás."
18,5,Sensacional comprei para meu sobrinho neto ele amou. Foi viajar com seus pais mas levou o carrinho kkkk.
19,1,"Eles me mandaram outro produto, comprei um carro de policia eeles me mandaram um carro de bombeiro."
20,5,Meu netinho amou até  pra dormir é  com ele na mão  muito obrigado.
21,5,"Muito bom produto, meu filho adorou e está brincando muito com o carrinho."
22,3,"O carrinho é legal, mas o valor é caro,um carrinho simples."
23,1,Produto muito frágil pro valor o plástico muito fraco quebra do nada.
24,5,Excelente carrinho de polícia. Meu filho de 2 anos e meio adorou.
25,4,Foi presente para uma criança. A criança diz que gostou muito.
