,score,comment
0,4,"O produto realmente é muito bom, porém notei alguns detalhes que deve ser levado em consideração: ele esquenta muito, recomendaria utiliza-lo em ambiente de clima mais ameno, aqui em belém-pa eu uso ou com o ar condicionado ligado ou ventilador direto. Cansa um pouco a vista, não é bom uso por muitas horas."
1,5,"Os capacitores são maiores e com maior voltagem, mas dá certo 100%, mesmo com voltagem maior, não há problema, só o tamanho mesmo. Com jeitinho dá pra colocar todos. No meu ficou perfeito e a capacitância veio correta. Capacitância que não pode ser diferente. Acho que só tem este kit anunciado no ml."
2,5,Produto show de bola superou minha expectativa top demais.
3,4,"Produto excelente,só não dei 5 estrelas,pois deixa a desejar nos jogos,mais perfeito,o ruim é que eu perdi minha esposa,mas segue o jogo. ????."
4,5,Produto muito bom gostei de boa qualidade ta funcionando normal.
5,5,Produto muito bom só achei o preço acima mais como não foi pra mim e quem estava comprando disse q não tinha problema comprei mais fez a alegria de uma criança.
6,2,"O console não veio com ""pequenas marcas"", veio extremamente arranhado e com a tampa lateral solta. A parte de cima dele não é original, percebi isso quando vi a cor, não é ""black piano"" eh um preto fosco que tá mal encaixado, o que também faz com que a tampa que cobre o leitor não abra completamente e fique travada. O controle veio completamente arranhado e quebrado, os analógicos ruins e travados, ainda tenho dúvidas se é original. Sendo ou não, ele veio super quebrado. E os ""espertinhos"" colocaram um lacre de garantia em uma parte que tava faltando um pedaço, para que ninguém podesse notar, como se alguém fosse idiota de não perceber, assim que peguei no controle notei que tava quebrado. Muito má qualidade. Me garantiram um console e um controle semi-novo e me foi enviado essa porcaria. Tirando isso, os jogos estão todos no hd, jogos originais e não são demos. Mas a integridade do console deixa a desejar."
7,2,"O produto anunciado como novo é na verdade um produto paralelo, vindo com controle e fonte de alimentação genéricos além de não vir com o manual do produto. Caixa de baixa qualidade. Ao menos os jogos originais do ps3 funcionam normalmente no console."
8,5,"Para quem quer presentear ou jogar os jogos da antiga geração tranquilamente, é uma excelente aquisição, apenas uma ressalva de que acima de 800 reais, esse console não vale a compra, exceto se o custo não for relevante para você."
9,5,"Bom produto. O ps3 foi descontinuado. Não é novo, mas está em ótimo estado. Os jogos funcionam, alguns requerem atualização (boa internet sugerida). Já tive o primeiro ps3, o qual estragou depois de 15 anos, tendo jogos com tecnologia 3 d, que é interessante. Testei-os no leitor bluray, tendo funcionado corretamente, bem como os filmes em bluray. Bom saber que é dificil obter jogos diferentes dos que acompanham o video game, somente online da sony (com preços em euros) ou comprando as midias antigas."
