,score,comment
0,2,"Não serviu para o meu propósito, uma deixei carregando e no outro dia estava queimada , a outra não consegue ligar um motorzinho de 1 a."
1,5,"Funcionou perfeitamente , tenho um video no youtube ensinando como desbloquear porque ela vem travada , so entrar no meu canal , wesley pimenta."
2,5,Otimo produto. Estas placas de controle de carga sao indispensaveis para as caracteristicas das baterias de li-ion.
3,1,Não deu certo no meu pec não depois de montado não acionava a parafusadeira.
4,5,Era o que eu estava esperando. Funcionou muito bem. Tudo ok.
5,5,Sempre compro desse modelo 3s 1a e funciona bem.
6,5,Bom preço e qualidade. Atendeu perfeitamente meu projeto. Recomendo.
7,4,"Cumpre com oque promete,não coloquem em parafusadeira."
8,5,Cumpre muito bem ao propósito que é destinado.
9,5,Otimo atende o que promete de boa qualidade.
10,5,Muito bom mesmo podem comprar exemplo de qualidade.
11,4,Produto de boa qualidade atendeu a expectativa !.
12,5,"Muito bom ótimo produto. 
Estão de parabens."
13,5,Ainda em teste mais prarece se bom.
14,5,Gostei muito espero que não haja problema.
15,5,"Ótimo, consegui terminar meu projeto."
16,5,Produto conforme anunciado. Recomendo.
17,5,Muito bom. Funcionou perfeitamente.
18,4,Bom.
19,5,"O produto é bom,não posso reclamar de nada,o mesmo atendeu muito bem minhas necessidades de uso e ainda estou usando sem nenhum problema. Valeu muito pelo bom desempenho que está fazendo no meu trabalho."
20,4,"Boa relação custo benefício. Lamentavelmente, o pouco que temos acesso hoje no brasil voltado para eletrônica não é mais fabricando no brasil enviando o nosso dinheiro e os nossos empregos para a china."
21,5,"De grande utilidade, como os cabinhos são bem finos, similar aos de fonte de pc, os mesmos podem ser substituídos por outros maiores ou melhores e reaproveitando as garras jacaré."
22,4,"Kit 10 cabos com garra jacaré 50cm vm pt am vd br jumper, bom produto, muito pouco tempo para avaliar ainda o desempenho, até o momento tudo ok."
23,3,"As garras são boas já os fios são tão finos que não da para ligar uma lâmpada sem que pegue fogo, então não dá para esperar muito!."
24,5,"Bem dentro do esperado, é bem simples e não é robusto (como esperado pelo preço)."
25,5,"Os cabos sao bem confeccionados e e exatamente o que eu precisava,nuito bom mesmo."
26,4,Boa noite gostei do produto atende minhas necessidades recomendo a todos grato.
27,5,Serviu-me muito bem na montagem de circuitos com arduino e protoboard.
28,5,"Gostei muito muito , o produto é bem feito e bem montado."
29,5,Ótimos cabos para uso geral na bancada de eletrônica. Recomendo.
30,4,Não usei ainda mas me parece ser um bom produto.
31,5,"Muito bom, prático e adequado aos trabalhos em protoboard."
