,score,comment
0,5,"Ótimo produto, gosto muito bom e não é doce como falam. Gostei tanto que corto um abacate e coloco ele em cima para comer. Quem gosta de comer leite em pó, vai amar consumir dessa maneira, pq é bem igual, da uma grudadinha no céu da boca e lembra sabor da infância, qd a gente comia leite em pó escondido. Para beber com água é ótimo, o produto fica excelente, é super leve, sabor agradável e doce suave. Com leite é melhor ainda, super indico. Qt a ganho de massa ainda não posso afirmar, mas volto para deixar uma opinião. Super recomendo."
1,1,O produto não faz jus a marca. Totalmente diferente do produto comprado em loja oficial.
2,2,Horrivel nao desolve na agua e tem cheiro de whey velho nao gostei.
3,5,Produto de ótima qualidade. Dilui muito bem e o gosto é muito bom.
4,5,Nessa faixa de preço é um dos melhores whey do mercado.
5,5,"Produto de excelente qualidade, original com lacre de segurança."
6,5,"Produto excelente , com ótimo sabor eu não conhecia."
7,5,Produto de ótima qualidade compro sempre do mesmo.
8,5,"Estou muito satisfeita, suplemento maravilhoso, dou nota 10."
9,5,O sabor é ótimo. Compensa muito pelo valor.
10,5,"Nada a reclamar. Produto bom, parece ser original."
11,5,"Otimo, compro sempre e sempre atende as necessidades."
12,5,"Excelente produto!. 
Só compro desse sabor agora !."
13,4,"De acordo com as especificações, recomendo."
14,5,Qualidade absurda e o melhor sabor!!!!.
15,5,Tudo ok. Original. Comprarei novamente.
16,5,O gosto é bom.
17,5,"Excelente, produto original!!!!."
18,5,"Ótimo produto, recomendo!!!!!!."
19,1,"Maizena! senti o gosto de maizena então coloquei no fogo e virou mingau. Pode ser qualquer outra coisa, mas whey não é."
20,5,Ótimo custo benefício! comprei de chocolate e o sabor é muito bom!.
21,5,"Produto de ótima qualidade, recomendo."
22,5,"Eu, particularmente, adoro pastas de amendoim. 
Para mim todos os sabores dessa marca que experimentei são deliciosos. 
Uso como recheio de bolos, para passar em biscoitos doces e até quando dá aquela vontade de saborear um docinho sem muito peso na consciência depois. 
Ela fornece energia de longa duração para atletas de todos os níveis e está cada vez mais em alta nas dietas de quem malha pois é fonte de proteínas, rica em gordura saudável e antioxidantes e tem baixo carboidrato. A gordura presente na pasta de amendoim vitapower é aquela considerada boa: são ácidos graxos poliinsaturados que protegem o corpo de doenças cardiovasculares. É ideial para todos os tipos de dietas: hipercalórica para pessoas que tem dificuldades em ganhar massa muscular ou hipocalórica, que tem dificuldades em perder peso."
23,5,Uma delícia !pra quem não quer furar a dieta taí zero açúcar muito muito top para comer a qualquer hora.
24,5,Amei antes eu nao gostava de nenhuma pasta de amendoim essa eu adorei nao consigo parar de comer.
25,5,"Ameiiii. 
Muito bom, recomendo. Vou comprar novamente eu gostei de mais. Chega na data certa, de qualidade."
26,5,Uma verdadeira delícia!  acabando meus dois potes q comprei já vou comprar outro.
27,5,Amei! comprei a cookies and cream e é maravilhosa! super recomendo!.
28,1,Muito bom valeu a compra vou comprar de novo.
29,5,Exelente produto me surpreendeu com certeza farei outras compras.
30,5,Pasta de amendoim nota 10 super saborosa amei.
31,5,Ótimo produto e corresponde para que e usado.
32,5,"O sabor que comprei foi de coockie, excelente!."
33,5,"Muito gostosa essa pasta ,aprovadissima podem comprar."
34,5,"Muito bom o produto ,saboroso e nutrtitivo."
35,3,"Achei muito massante, deveria ser mais homogênea."
36,5,"Muito bom,sabor fantastico. Indico a compra."
37,5,Adorei o sabor. Recomendo a compra.
38,5,Produto muito bom e de qualidade.
39,5,Nossa muito bom mesmo uma delícia !!.
40,5,"Muito boa super recomendo, qualidade excelente."
41,5,"Muito boa, melhor que já comi."
42,4,Produto muito bom sabor suave satisfeito.
43,5,Uma delicia adorei e maravilhosa.
44,5,"Moro bom. 
Excelente. 
Vale muito."
45,5,"Ótima compra, pasta muito saborosa!."
46,5,Muito bom! sabor sem comparação!.
47,5,Ótimo produto e excelente preço.
48,5,Adorei recomendo para todos!!!!.
49,5,"Muito bom , excelente!!!!!!!!!."
50,5,Muito                                                                                       bom.
51,5,Top !.
52,5,"Réplica em questão de tamanho da g17 quase perfeita, pressão muito forte em distâncias de 5 metros perfura o papel sulfite. Já dei uns 100 disparos e até agora está perfeita. Pelo preço vale a pena."
53,4,Como faço para as bolinhas  sair do pente coloquei as bolinhas lá e não atira.
54,1,"Apresentou defeito (quebrou) logo nos primeiros dias de uso,se for pra colocar de enfeite é ótimo,mas se for pra usar,se divertir não recomendo."
55,3,"A pistola é bonita, não tem tantos detalhes, mas a aparencia é boa! pro preço, é um ótimo produto, com um porém. A pistola é bem frágil, leve e precisa tomar muito cuidado pra operar ela, pra inibir o perigo de quebrar. De resto, belo produto pelo preço."
56,4,"Excelente produto para quem quer se divertir sem alta performance. Serve para passar o tempo ou fazer competição em casa de tiro ao alvo. A pistola é excelente, a taxa de falha dela é pequena e os disparos saem quase todos com a mesma força e direção. Já a m4a1, por ter um mecanismo mais complexo, a taxa de falha dele é bem alta. Em seguida ele tranca uma bolinha, atira duas, um disparo sai super fraco e cai a menos de 10 metros, outro sai muito forte e vai embora. Então nunca é um disparo preciso. Outro defeito é a massa de mira que é muito mais alta do que a saída do cano, então você tem que sempre compensar e mirar muito acima do alvo, não existe disparo mirando exatamente o alvo. Mas para enfeite ou brincar de tiro ao alvo em casa, são excelentes armas e parecem ser bem duráveis. E por último, o recarregamento da m4a1 é bem difícil, você deve colocar as bolinhas no magazine e fazer elas percorrer em um caminho interno até sair no trilho do carregador, porém as vezes elas não saem no trilho, as vezes as bolinhas que estão no trilho voltam para dentro do magazine. Tudo tem um jeitinho e eu estou ainda pegando o jeito, porém você vai passar bastante raiva nos primeiros carregamentos."
57,5,"Produto ótimo!comprem sem medo,vem tudo certinho e o produto é ótimo,pros comentários que falam que a arma é ruim,que não tem precisão,que não é nada igual,são um bando de besta querendo comprar uma arma que atira arpão por 200 reais,a arma é ótima,se cuidar e não ficar tacando no chão que nem uma bola de futebol dura muito,e vem com 2000 bbs,ótimo produto não me arrependo!comprem sem medo melhor produto,e se travar tem vídeos no youtube ensinando métodos!."
58,5,"M4- bem forte até, construção razoável, usei esferas 0. 12 e ela não mostrou muita precisão, acredito que com esferas 0. 20 ela tenha uma precisão melhor. Possui trava de segurança funcional e suporte pra upgrades oq a torna muito bacana pelo preço, joguei com ela 4x em jogos casuais e aguentou super bem, só a precisão dela que deixa a muito a desejar com as esferas 0. 12g. 
Glock- excelente com esferas 0. 12, precisão maravilhosa em alvos a no máximo 10m, aguentou tranquilamente os jogos, uma pena não ter muitas opções de melhoria, se mostrou muito mais firme e durável do que as outras pistolas spring de baixo custo. 
Obs: ambas são de plástico duro, o cuidado no manuseio é indispensável pra melhorar a durabilidade, então é só ter cuidado que as duas duram muito."
59,4,"A arma é intermediária, ela tem um alcance bom da pra brincar não doi muito na pele, porém da pra notar que ela é uma versão bem simples mesmo, por 200 reais ela não vale pois não tem a trava da arma nem aquela ""linguinha"" que tem nas outras airsoft glock 17, é melhor esperar uma promoção e comprar pela metade do preço."
60,5,"Bom, meu objetivo era usar como objetivo decorativo e na aparência tá maravilhoso, porém, se meu objetivo fosse usar, eu estaria com um enorme problema já que ela não atira, infelizmente veio com esse defeito, mas ainda bem que eu só queria mais por decoração, enfim, não sei qual foram as experiências anteriores com o produto de outras pessoas, mas em relação a qualidade de produto no sentido do objetivo real do uso, não funciona, provavelmente se eu entrasse em contato trocariam o produto, mas não preciso fazer isso, seria sim maravilhoso receber uma funcionando, mas é o que temos pra hoje. Dou 5 estrelas pelo produto lindo e maravilhoso que vai ficar na minha parede, porém fico triste com o produto não estar funcionando, mas com eu disse; é o que temos pra hoje."
61,5,"Preço bem acessível e bem divertido para ficar em casa atirando em alvos nessa quarentena. Mas o material deixa a desejar um pouco do produto, mas mesmo assim recomendo para quem gosta e sempre quiz ter uma airsoft mesmo spring pra se divertir vale bem a pena."
62,5,"Rifle simples de entrada no hobby, material frágil e leve porém gostei bastante, sempre quis ter um rifle, para brincar e decorar o quarto atende ao propósito,se for caprichoso e cuidar bem do rifle ele vai durar bastante mesmo sendo de material frágil, para colecionador é uma boa opção de baixo custo , também é possível personalizar com acessórios nos trilhos de 20 e 22 mm pra dar uma nova cara ao rifle , rifle simples mas gostei, único contra que eu achei é a falta de uma catraca no magazine para fazer a bolinha subir, municiar o magazine fica complicado, mas você pega a manha."
63,5,"Pistola muito parecida com a real, bem forte e precisa, porem leve por ser de polimero, mas no entanto serve muito bem para brincar e treinar a alça e massa ! pra quem quer um produto mais identico ao original, recomendo comprar uma full metal de co2 !."
64,3,"Muito frágil apresentou defeito com 100 tiros, travou mas foi possível contornar abrindo. Mas provavelmente o mesmo problema vai acontecer novamente. Para brincar dentro de casa é ideal por dois motivos: não é tão forte e as bolinhas podem ser reaproveitadas, em virtude do cano interno ter bastante folga (cerca de 8mm contra 6mm das bb's). O agrupamento numa distância de 3,20m fica bem fechadinho dentro de um círculo de 7,5cm de diâmetro. Se não fosse o travamento que ocorreu daria mais estrelas."
65,4,"A pistola é boa, mas é bem levinha. Da pra acertar um alvo até uns 10 metros. Esperava que fosse um pouco mais real e mais pesadinha um pouco mas mesmo assim é boa. Ta um pouco cara só."
66,4,"Produto com ótimo custo-beneficio, esta airsoft serve para uso tanto daqueles que querem começar na modalidade airsoft quanto pra quem só procura se divertir em casa,material resistente,quando dou tiros secos a carcaça da arma aguenta tranquilo só que não pode abusar, um ponto negativo e que na maioria das outras airsofts deste modelo e marca vai continuar tendo é o caso da bolinha dentro da arma e para tirar tem que ter um pouco de técnica."
67,5,"Por hora o produto esta me atendendo. Li alguns comentários sobre a falta de qualidade, claro que não é de ferro, é de plástico, mas e bem resistente. Basta ter cuidado na hora de engatilhar. Tudo certo."
68,1,"Diz polímero na descrição mas é extremamente fraco  bonito bem acabado, mas de qualidade muito baixa a matéria prima quebrou com menos 100 tiros tentei arrumar mas não tem como é muito frágil, digo q o slide poderia ser mais forte mudando a maneira de ser confeccionado e matéria prima ,mas agora já era já veio e já estrago,deixei vários dias dias guardada mas no segundo dia q brinquei um pouco quebrou."
69,1,"Produto todo de plastico eu ia compra mais 2 nao compro mais !!!!. 
Na hora de engatilhar trava vai solta a bolinha ainda vem que passei um esprei dai ficou melhor mais nao compro mais nao!!!."
70,5,"Ótimo custo benefício, ela é toda em plástico e mais simples do que os modelos full metal mas pelo valor é excelente não tem como esperar melhor do que isso, sobre a potência e mediana não chega perto de uma elétrica nem co2 mas é o suficiente pra machucar kkkk se vc quer brincar em casa e a melhor de todas, obviamente não é pra uso competitivo mas é bem divertida, recomendo d+ ??."
71,5,"Até agora ela está funcionando em tudo,as bbs sao perfeitas não tem rebarbas,a arma tem precisão mas com bbs 0. 20 acho que teria um pouco mais,estou satisfeito com a compra."
72,5,"Pistola bem bacana. Efetuei alguns disparos com ela e realmente ela tem uma boa precisão e força, recomendo comprar as bbs de 0,20 pois as que vem com ela não são muito boas por conta de serem leves, mas a pistola em si ela é bem top, o peso da airsoft é equilibrado, não muito leve mas também não é muito pesado. Curtir bastante!."
73,1,"Bom dia eu não comprei esse produto e quero devolver. E quero receber meus 669,25 de uma compra cancelada de um iphone estou indo procurar meus direitos (procom). Aguardo uma resposta urgente."
74,5,"Dei 5 estrelas levando em consideração ao valor da pistola. 
Não é uma top de linha é claro, mas da pra brincar bastante. Nota-se que não é uma pistola robusta, é algo que se cair com violência talvez venha a se quebrar, mas eu acredito que tenha valido a pena a compra e mais pra frente pretendo comprar mais umas 2 a 3 unidades."
75,5,"Pelo preço a arma é bacana de brincar. Comprem sem medo, ela tem uma precisão que vc não espera muito de uma arma de mola. 
Recomendo tbm usaram a bbs 0,20."
76,5,O produto cumpre como prometido na hora de ter manuseio muito cuidado pois as peças são frágeis mas nada que o manuseio com cuidado possa resolver muito bem feitas ótimo custo-benefício veio com as bolinhas e só faltou a nota fiscal vir junto com o produto mas isso pode ser resolvido puxando pelo site muito forte a pistola no raio 9 m.
77,5,"É honesta. Parece ter o que procuro. Só quero para reconstruir minha laserlyte que se acabou de tanto uso, não procurava fidelidade aos detalhes. Aparentemente é um bom custo/benefício."
78,4,"Não entendo muito, pra um amador bem amador como eu da para brincar, mas. Ela e bem frágil tenham cuidado com o manuseio, não e tão precisa mas cumpre as funções dela a maleta e quase descartável veio com a presilha quebrada pelo menos ajuda para armazena em casa. Para amadores ela e boa da pra dar uns tiros bem legal."
79,5,Muito bom incrivel eu fiquei impressionado ela e precisar e forte eu marquei a parede da minha casa e furei papel de carnderno para treinar que prduto incrivel.
80,5,"Excelente produto. Dei de presente para um menino de 8 anos nada cuidadoso, ele ja deu mais de mil disparos e esta funcionando perfeitamente. 
O unico defeito que eu encontrei é que a alça de mira tem um vão muito largo que nao enquadra bem com a massa de mira. Mas é so mirar no meio que é bem precisa."
81,1,Porcaria. Quebrou com um mês de uso. Quebrou a parte da frente do slide que é apenas uma casquinha de plástico frágil para aguentar o retorno da mola.
82,3,"Arma bem bonita. Porém muito simples. Material bem leve. A pistola tem apenas o retém do carregador funcional, o resto é fake. Porém cumpre o que promete. Pelo valor eu recomendo. É um airsoft para uso doméstico e tiro alvo. É bem simples porém muito bonita. Para quem quer uma airsoft para brincar em casa ou de enfeite recomendo."
83,4,"Muito boa pelo preço, bonita, peso bom, só a potência q deixa um pouco a desejar mas como já falei pelo preço e umas das melhores do mercado!!!."
84,5,"Acabei de receber e já testei. 
A princípio tudo certo, meu filho adorou. 
Uma pressão bem forte do tiro chegando a fazer furo no alvo que vem junto. Está fazendo um barulho na arma, não sei se é assim mesmo. Único ponto negativo é o alvo, esperava um tamanho maior, é do tamanho da palma da minha mão."
85,4,"Falha um pouco, quando engatilha algumas bbs cai no chão e ficam presas e atiram duas de ums só fez, mas é aceitavel. A potencia é boa."
86,4,"Pelo valor um ótimo produto, o tamanho é grande pra minha mão mas ficou ótimo. Gostei das peças e do funcionamento. O único problema é a precisão, tem momentos que parece q a bb bate dentro e vai uns 10° pra direita. Estando a mais de 5 metros apenas poucas balas vão no ponto certo."
87,4,"O produto é muito bom pelo preço. 
Percebi que o carregador fica um pouco frouxo e o gatilho é um pouco frágil. Tirando isso é muito bom."
88,3,É boa a curta distância tem uma boa pressão fura ate caixa de papelão porem sua mira não é precisa a uma distância maior de 3 metros vc gasta todos os bbs e não consegue atingir o alvo kkkk. Como brinquedinho a pistola atende da pra passar o tempo tentando acertar o alvo.
89,4,"Funciona, material nao muito resiste, trava a bolinha se puxar mais de uma vez quando for armar, tive que abrir, mais facil desmontagem, mais compraria novamente."
90,3,"Gostei do produto pelo preço faz valer a construção, parece um pouco frágil, mas acredito que com cuidado não deve estragar tão facilmente. Acredito que deveria vir ao menos um magazine de bbs para testes isso compromete a avaliação já que a principal função da arma tem que ser adquirida a parte."
91,4,"Ótimo pelo preço, não tem muita precisão e com bbs de 0. 12 tem pouca potência, mas para brincar e derrubar algumas latas atende bem."
92,5,"Ótima. Essa é minha segunda. A primeira passou de 2. 000 tiros fácil e está intacta. Use com carinho, lubrifique de tempos em tempos e cuide na hora de atirar que você terá uma arma para um bom tempo. Dica, use bbs 0,20 é perfeito precisão a 10 metros tranquilo."
93,3,"Bm bao o produto coisa! tô escrevendo a mais,por w o ml falo q é pouco q eu falei na primeira frase. Ok."
94,5,"Gostei. O produto oferece uma sensação de simulação de arma. Plástico mas muito bem acabado e bonito. Recomendo a todos. Único detalhe é que tem que tomar cuidado para não estragar a mola do carregador pois parece ser bem frágil, mas nada que o cuidado não possa resolver."
95,5,"Muito boa compensa o valor, faz 15 dias que tô com ela e até agora não tive nenhum ponto negativo, boa de verdade."
96,4,"Arma toda de plástico reforçado, ideal para bolinhas 0. 12g ou 0. 20g. 
Dispara com precisão até uns 7 a 10 metros. 
Não consegue furar papelão, nem consegue furar o alvo direito, portanto ela é fraca (cerca de 120 fps). Mas é o bastante para uma spring."
97,4,"É um produto bastante simples, mas atende as expectativas com o melhor custo x beneficio e tem as mesmas dimensoes da g17."
98,3,"Pra brincar é legal , porem se voce usar bbs de 0. 20 a curta distancia é bem melhor. A pistola dá pra aumentar a pressão dela em 20% e fica quase igual o rifle. A pressão do rifle é fraca em comparação com seu tamanho e desempenho."
99,2,"Pistola leve, com rebarbas a vistas. Todos que veem descobrem que é de mentira, nem dá pra fazer uns assaltos !. 
. 
Não gostei."
