,score,comment
0,2,"Nao condiz com a realidade apresentada. O tamanho nao é unico, é para maos de crianca ou mulher pois nao cabem os dedos. Quanto a trama do tecido vi somente cola derretida e elastico o que por certo nao protege contra cortes. Entao para uso profissional nem pensar."
1,5,Produto muito bom. Cumpre muito bem o seu papel de proteger contra cortes e outros acidentes as minhas mãos. Recomendo.
2,5,Ja experimentei o produto. Excelente. Valeu a pena comprar. Aconselho a compra !.
3,5,"Fantastico muito bom mesmo , pode comprar sem medo !!!."
4,5,"Muito bom continua. 
Assim vcs estao de parabéns."
5,4,Muito bom ficou ótimo gostei bastante.
6,5,"Otima luva, boa proteção, otimo material."
7,5,Muito boa qualidade e preco! perfeito.
8,5,"Produto de boa qualidade, obrigado."
9,1,"Péssima,ñ deveria nem colocar essa porcaria pra vender,ñ durou nem um mês,deveria ter devolvido essa porcaria. 
Ñ comprem,vcs vão ter só prejuizo. 
Coloquei uma estrela,pq ñ tem a opção de zero."
10,3,"Tamanho perfeito! mas deixa a desejar o material extremamente fragil,veio sem caixa sem nada apenas o oculos a risco de quebrar. Bom muito chateada fragil de mais por mais cuidado que tenha ainda é pouco."
11,5,"Ótimo, olhei nos comentários que eles eram grandes porém, não são, são do tamanho ideal. Amei a qualidade o tamanho. Minha filha adorou e ficou certinho no rosto dela."
12,1,Muito ruim mesmo não coupem o que promete uzei dos dois é quebro do nada não consegui meu dinheiro de volta péssimo.
13,1,"O modelo do óculos era um e depois da compra colocaram outro,não foi oque eu comprei."
14,3,"Gostei do oculos,porem achei que ficaria menor no rosto,mas gostei ,achei muito bonito."
15,4,Bom só um pouco grande pra mim. Pra quem tem rosto maior e perfeito.
16,5,Gostei muito ficou otimo com certeza vou comprar de novo seper recomendo.
17,1,Muito fraca pra colocar as lentes multifocais que uso. Não serve!.
18,2,"Armação extremamente fragil, não recomendo a compra, quebrou na primeira queda."
19,3,O da foto parecia ser maior. Mas parece ser bom.
20,1,O produto de mal qualidade n e uma armacao boa.
21,1,Horrível. Armação fraca e nada haver com a foto.
22,5,"Recomendo. Bom bonito e barato,cumpre o que promete."
23,5,Ameeeiii. Do jeitinho que eu pensei! igual na foto!.
24,5,"Tamanho ficou muito bom, gostei, atendeu minhas espectativas."
25,5,Ótima qualidade só um pouquinho grande pra mim.
26,5,"Adorei o produto, veio exatamente como a foto."
27,5,"Ótimo, super recomendo,boa qualidade, super honesto."
28,5,Muito bom recomendo a todos do ml.
29,5,"Ficou muito bom,de material  excelente."
30,4,Gostei muito logicamente irei comprar mais.
31,5,"Perfeito, li do, amei o produto."
32,5,Minha filha adorou e achou lindo.
33,4,"Qualidade boa excelente. 
Bom demais."
34,1,"Horrível,  material não vale nada !."
35,1,Ótima qualidade produto  maravilhoso.
36,4,"Alguns vieram um pouco arranhados, mas comprarei novamente. Comprei uma pasta polidora de lanterna de carros e um saco de estopa, ficaram  novinhos em folha."
37,2,"Odeio criticar trabalho dos outros mas essa compra me decepcionei mto, veio a maioria arranhados. O acrilico quebra com facilidade na  hora de encaixar, porque sao mal cortados."
38,5,Ótimo perfeitos bom acabamento vedação perfeita matérial acrílico grosso de ótima qualidade resistente só usar e desfrutar parabéns aos fabricantes!!!.
39,1,"É a segunda vez que compro, comprei 200 e depois mais 200, mas não compensa,. Pelo menos 100 tá arranhado."
40,2,"A maioria dos chaveiros vieram com arranhões na parte da frente, não sei se conseguirei usá-los, uma pena."
41,5,"Acabamento muito bom!!! o anel onde segura a corrente e o acrílico já ajustado sem folgas ,. Recomendo."
42,1,"Muito ruim. Cheio de riscos cerca de 80% de perda!!!. 
Não vale o que o ""gato enterra""."
43,5,"Produto bom, atende as expectativas. Compraria novamente recomendo a todos do mercado livre."
44,3,"Bom. 
Porém vinheram muitos chaveiros arranhados e com rebarbas. 
Precisa melhorar o acabemento."
45,3,Veio com pequenos arranhões em alguns deles. Mais é bom o materia.
46,1,"Muito bom, ótimo material. Nao veio arranhado. Adorei. Vou comprar mais."
47,5,"Muito bom ,super indico!! e o peço muito bom também!!."
48,4,Muito bom gostaria de mais preço pra min revender aqui.
49,5,"Excelente qualidade. Bem firme, não fica saindo as tampinhas. Recomendo."
50,5,"Produto enviado corretamente, chaveiros de boa qualidades, super recomendo!."
51,5,"Muito bom, a anos que cpmpro com eles."
52,5,"Achei lindo os chaveiros, veio sem risco nenhum."
53,5,Ótimo produto! está é a minha segunda compra.
54,5,O chaveiro muito bom  a qualidade e otima.
55,1,Vem tudo riscado o produto. E as argolas. .
56,1,Pecima quantidade muito ruim não gostei muito vagabundo.
57,5,"Produto muito bom, ótimo acabamento e resistente."
58,5,Otimo pra queem que da aquele presente.
59,5,"Muito bom, super recomendo. Superou minhas expectativas."
60,5,"Ótimo produto, em breve estarei comprando novamente."
61,5,"Muito bom super recomendo. 
Veio certinho."
62,5,"Ótimo, irei comprar outras vezes."
63,5,Ótimo produto! recomendo a todos!.
64,5,Produto excelente. Compraria novamente.
65,5,"Parabéns vieram embalados separados,."
66,1,"Pessima qualidade, acabamento horrivel."
67,5,"Muito bom, comprarei novamente :)."
68,3,"Razoavel, alguns vem arranhados."
69,5,"Excelente produto, eu recomendo!."
70,5,"Gostei bastante, ótimo produto."
71,2,"Achei a armação desconfortável, pois ele aperta na região das orelhas. Além de ser um material frágil. 
Duas semanas de uso e já quebrou a armação na parte inferior da lente, não fiz nenhum movimento brusco nem agressivo, simplesmente fui ajustar ele na minha face e simplesmente a lente caiu. Fui ver, a armação havia quebrado."
72,1,"Muito frágil, já quebrou a armação, não fiz nem força e já quebrou. 2 dias depois de receber o óculos. Nunca mais comprarei outro e não recomendo."
73,2,"Não gostei muito. Óculos bem parecido com aqueles do camelô que vc paga 20,00 e a caixinha do óculos parece que é feita com folha sulfite."
74,1,"Esperava mais, comprei um aqui em uma ótica e contém muita diferença desse ofertado como original."
75,4,Ficou um pouco pequeno para o formato do meu rosto mas aparentemente é muito bom.
76,5,Ótima qualidade e muito bonito! recomendo pra quem gosta de óculos casual.
77,2,"A qualidade não é muito boa, tem diferença na pintura do óculos."
78,1,Defeito de fabrica a tinta borrada o detalhe passando da lente horrível.
79,1,Muito fraco derrubei uma vez e quebrou não tem nem conserto.
80,1,Nao  protetor  nao  tem  caixinha  vem  num  saquinho  horrível  pelo  valor.
81,5,Otimo produto top top top!!!!! recomendo a todos esse produto.
82,5,"Óculos bonitos, bem acabados e veste muito bem no rosto."
83,5,Muito bom mesmo!!! meu marido e meu pai adoraram.
84,4,"Boa qualidade, recomendo para pessoas de rosto fino."
85,5,Vestiu muito bem! o óculos é muito bonito!.
86,5,Gostei muito parece ser de ótima qualidade.
87,5,Produto top. Muito bem feito. Muito satisfeito.
88,5,"Produto exelente, ótima qualidade super recomendo."
89,5,Exatamente como na foto e descrição.
90,5,Um bom custo benefício  valeu apena.
91,5,Muito bom bacana de mais obrigado.
92,4,Custo benefício bom gostei muito.
93,4,"Produto bonito, com bom acabamento."
94,5,"Gostei bastante do produto, recomendo."
95,5,Ótimo produto com qualidade excelente.
96,5,Muito bom. Recomendo! satisfeito.
97,5,"Excelente produto, estou satisfeito."
98,5,"Ótima qualidade,  super recomendo!!."
99,5,Adorei! canga muito linda e prática. É grande e o tecido é de ótima qualidade.
100,5,Perfeito. Vale cada centavo. Recomendo.
101,5,"Ficou bom para o uso, as cores poderiam ter vindo mais variadas. As minhas duas filhas esperavam rosinha e só veio cinza, azul e preto. Mas de qualquer forma custo benefício valeu a pena."
102,5,Meu filho tem 7 anos. E ficou otima. So o q eu indico de fazer kits separados meninos e meninas. Tive q fazer doação das rosas q vieram kkkk.
103,5,"Lindinhas. A criancada amou, mas serve ate maximo 6 anos. Ideal pra crianca tamanho 4."
104,5,Ótima minhas filhas amaram muito confortável.
105,5,Muito bom cores lindas gostei muito.
106,5,"Produtos bons , com ótimo acabamento."
107,5,Produto excelente muito confortável fácil  higienização e fica muito bem no rosto.
108,5,Uma excelente máscara muito confortável vale a pena comprar recomendo.
109,5,"Excelente, produto original, ótimo custo beneficio, recomendo."
110,5,"Muito boa, nao incomoda e sao bonitas."
111,5,O que falar dessa mascara top kk.
112,5,Excelente. Melhor máscara. Protege sem sufocar.
113,1,Muito difícil o processo de colocar o filtro e o suporte plástico. Os filtros vieram grudados um no outro e dá um trabalhão separar um a um. Parece que foram cortados de uma vez só numa pilha e ficou tudo grudado nas bordas. Não tem clipe para modelar o contorno nasal. Só é bonita por fora. Dá muito trabalho para preparar.
114,4,"É muito boa, confortável e bonita. Só deixa a desejar quanto ao clip nasal. Ao que parece, não tem esse item na mascara e por isso não se ajusta bem ao nariz. No meu caso, a máscara fica descendo. Isso é perigoso porque preciso colocar a mão na máscara para ajustar a todo momento."
