,score,comment
0,5,"Excelente custo beneficio, tive receio pela marca não ser tão famosa, mas ela não faz vergonha, liga fácil, até 6 horas depois de acionar o afogador para partida ela pegou de primeira, leve, boa potência, econômica, fácil manejo, para quem quer uma motoserra para podas confiável eu recomendo a cs25s , já fiz varios testes tive que podar uma árvore que estava ameaçando a rede elétrica do sítio que moro, e ela foi muito confortável e segura de manejar fora do chão,  pode comprar que você não irá se arrepender."
1,5,"Cs25s equipamento de alta qualidade bem acabado e de bom manuseio, da para trabalhar com uma mão só, eu trabalho de mecânico de manutenção em indústria já a 20 anos, e ando de motocross com uma moto 2t, que é o mesmo segmento do motor, porém tive que fazer alguns ajustes no equipamento, provavelmente estava algum tempo parado, e o acelerador estava travado, tive que usar desingripante  na haste que vira a borboleta para entrar ar e criar a aceleração, tive que regular também o carburador dela, bem simples do lado dela tem 2 parafusos um para entrada de ar e outro para entrada de gasolina, após estes ajustes o equipamento funcionou perfeitamente. Ele pegava e tudo mas não dava aceleração. Agora está boa pra karamba e estamos fazendo vários cortes de madeiras de todos os tipos. Super recomendo."
2,3,Parece ser um bom produto. So tentei ligar mais nao usei. O no da cordinha vasou no orificio do puxador e custei pra solucionar o problema.
3,5,Usei ela p fazer poda de árvore e é muito forte e bem leve ótimo produto recomendo a todos.
4,5,Muito boa. No inicio ela eatava meio desregulada eu dei uma regulada  nela e ficou boa. Maquinas senssacional.
5,5,"Excelente  motoserra, a tempos queria uma dessas, corta tanto quanto uma grande, bastante  econômica. Adorei, perfeita,  recomendo."
6,5,"Ótimo produto, excelente custo benefício, produto de qualidade, por enquanto não tenho o que reclamar. Recomendo."
7,5,"Apesar de ainda não ter tido oportunidade de usá la,  acredito que vá suprir minhas necessidades."
8,5,Ótimo para trabalho em altura muito bom recomendo meu contato para dúvidas 49 988068811 bombeiro giovane.
9,1,Ó produto não está funcionando eu estou muito chateado com a qualidade da moto serra.
10,5,Muito top leve potente e muito econômico. Pra fazer serviços ocasionais e jardinagem é perfeito.
11,5,Pra mim esta sendo um ótimo produto. E excelente maquina perfeita para meu trabalho.
12,5,"Muito boa, eficiente e prática, ótima para pequenos serviços, no meu caso, estou satisfeito."
13,5,Comprei para o meu marido de presente dos dias dos pais e ele amou.
14,5,Muito boa a qualidade do produto. Atendeu muito bem a minha necessidade. Recomendo.
15,5,"Funciona muito bem. Expectativa em relação à durabilidade. 
Até agora, ótimo custo-benefício."
16,1,Muito bom eu ja conhecia e achei que atende a minha nessecidadade!!.
17,4,Para o q se propõe é bom! serviço jardim e pequenos trabalhos.
18,4,Bom atendeu a minha necessidade equipamento leve fácil manuseio por enquanto satisfeito.
19,5,"Usei pouco, mas achei excelente para aplicação a qual foi projetada."
20,2,Excelente maquina atingiu todas as minhas metas recomendo a sua compra.
21,5,Muito bom atende bem as necessidades a que ela se propõe.
22,5,"Gostei muito, bom acabamento e bem eficiente. Me atendeu perfeitamente."
23,5,Atendeu todas as minhas nessecidades produto robusto leve top recomendo.
24,5,"Estou muito feliz,como tudo que compro no mercado livre."
25,5,Atendeu bem. Usei pouco mas pelo q usei produto bom.
26,5,Muito top atende uma ampla variedade dentro do seu limite.
27,5,"Realmente é uma ótima formiguinha. Até agora tudo certo,  satisfatório."
28,3,"Sere para o que eu preciso, recomento para pequenos serviços."
29,5,"Muito útil, podas, serviços emergenciais, esta pequena formiguinha faz milagres !."
30,5,"Muito bom , ótima qualidade , grande desempenho, apesar do tamanho."
31,5,"Super recomendo. 
Produto veio rm perfeitas condiçoes para uso."
32,5,Um ótimo produto melhor do que eu esperava.
33,5,"Funciona perfeitamente,  econômica, leve e fácil de utilizar!."
34,4,"Maquina muito bom, eu recomendo. Atendeu minhas necessidades."
35,5,Ótimo produto indico a todos  do mercado livre.
36,5,"Superou minhas espectativas, produto potente, leve, estou satisfeito."
37,5,Muito bom excelente produto superou as expectativas.
38,5,Perfeito muito bom e de ótima qualidade.
39,5,"Leve e pratica, otima para trabalhos pequenos."
40,5,"Muito bom, leve e facil de usar."
41,5,"Excelente para uso doméstico,leve e eficiente."
42,5,"Gostei muito leve, bonito uma boa máquina."
43,5,Muito bom o produto recomendo para todos.
44,5,Muito bom. Leve pra poda. Gostei.
45,5,Excelente produto recomendo é produto ótimo.
46,5,"Otim produto, indicarei para outras pessoa."
47,5,Gostei muitos do produto muitos bom.
48,5,Motoserra leve prática e muito forte.
49,5,Pequena mais nervosa. Corta muito ela.
50,5,"Bom, faltou algumas dicas para montagem."
51,5,Atendeu minhas expectativas. Belo custo benefício.
52,5,Eselente gostei muito e recomendo.
53,5,Uma ótima máquina muito potente.
54,5,"Excelente produto, recomendo a todos."
55,5,Motosserra boa testada e aprovada.
56,5,Muito bom resolveu meus serviços.
57,5,Chego em perfeito estado. Parabens.
58,5,Muito bom atende aos requisitos.
59,5,Produto de excelente qualidade.
60,4,O produto é bom recomendo. Podem comprar que vale a pena.
61,5,"Muito bom, boa qualidade, como eu esperava, atendeu as expectativas."
62,5,"Muito bom, recomendo o produto barato e de boa qualidade."
63,5,Muito bom. É sempre melhor usar peças originais.
64,5,Produto muito bom. Já é a segunda compra.
65,5,"Produto bom, indico a todos do mercado livre."
66,5,"Achei bom, boa qualidade e boa durabilidade."
67,5,Ótimo produto recomendado para todos comprar obrigado.
68,3,Fio de nylon poderia ter maior comprimento.
69,5,Exato para meu cortador de grama.
70,5,Excelente produto. Atendeu as expectativas. Recomendo.
71,5,Excelente qualidade vale apena comprar.
72,5,Otimo e vei conforme anunciado.
73,5,Produto de excelente qualidade. Recomendo.
74,5,Ótimo produto!!! excelente qualidade.
75,2,Comprei duas faz 6 meses as duas estão com o mesmo problema. Fica oscilando a  pressão agora não sei oque fazer.
76,5,Ótimo produto recomendo a todos ml.
77,5,Ótimo produto nota 10  muitobom.
78,4,"A lamina e serrilha sao muito bons, material de qualidade. O cabo podia ser melhor, a madeira e' tosqueira e o verniz tbm de baixo acabamento, ou seja, o cabo nao e' pra uso profissional pois nao tem anatomia das boas. Mas pelo preco e pela qualidade das laminas, vale muito a pena, eu paguei uns 35 reais em marco 2021."
79,5,Adorei veio como queira vim de acordo com que mostra no link recomendo sempre gostei muito pode compra sem medo qualidade perfeita.
80,5,Bom produto. Bom para aparar gramas e pequenos arbustos.
81,3,"Bom para o que faço  uso, na jardinagem."
82,5,Recomendo. Cumpre bem o que promete.
83,5,Ótima gostei fez um excelente  trabalho.
84,5,Gostei muito atendeu as minhas expectativas!!.
85,5,Muito útil na manutenção do jardim.
86,5,"Muito eficiente e prático, recomendo."
87,5,Produto de excelente qualidade.
88,2,"Parece um brinquedo. 
Uma grande decepção. 
A tesoura não corta uma galho de rosa e desmonta , as partes metalicas se soltam dos cabos facilmente enquanto voce trabalha. 
Deveria ser vendido como kit jardinagem para crianças. 
Nunca imaginei pela marca tramontina um produto de tao baixa qualidade. 
Só não devolvi porque me empolguei ao receber e joquei fora o rótulo com codigo de barras e a nota fiscal. 
Senão era devolução na certa !. 
Eu nao recomendo este produto nem. 
Para iniciantes."
89,1,"Brinquedo de criança, usou quebrou,  bonitinho mas ordinário. Pode-se usá-lo  para cortar grama, desde que não seja muito dura. Kkk."
90,5,"Os itens são pequenos, é para trabalhar mais em horta, mas os materiais são de qualidade."
91,5,É  o que eu esperava. Gostei do produto e chegoi antes do esoerado.
92,5,"Ótimo produto, a maleta é bem prática para usar e guardar."
93,5,Kit para iniciantes com bastante peças. Ótimo para quem está começando.
94,5,"Fiel as imagens, muito bons para jardinagem. Principalmente de hortaliças."
95,5,Minha esposa amou o presente. Foi como eu esperava.
96,4,"Produto muito bom, de qualidade e excelente custo-beneficio."
97,5,Produtos de qualidade e conforme oferecidos no app.
98,4,"Produto muito bom, para pequenos trabalho de jardinagem."
99,5,Otimo. Qualidade razoável. Recomendo a todos da comunidade.
100,5,Exatamente como na foto. Bonito e resistente.
101,5,Muito bom. Recomendo a todos do ml.
102,5,Lindo! perfeito. Tudo bem organizado e resistente.
103,4,Bons produtos. Melhor a relação custo benefício.
104,5,Excelente produto. Recomendo. Exatamente como anunciado.
105,5,"Muito útil, tamanho perfeito para residência."
106,5,"Resistente, perfeito e atendeu as expectativas."
107,5,Recomendo a todos do mercado livre.
108,5,"Produto show, otima compra, agradeco."
109,5,Excelente produto. Atenderá o proposto.
110,5,Preço e qualidade equilibrados! =).
111,5,"Excelente e prático!! superou minhas expectativas. Cortei 85 mts de grama rapidamente. Achei a potência boa, atendeu bem. Me preocupei com os comentários referente ao cesto, mas é o jeito de colocar, tem que levantar a traseira e vc encaixa sem dificuldades. Aspira a grama sem deixar para trás, como tenho piscina com parte de gramado em volta me ajudou bastante. Super aprovado!."
112,5,"Muito bom, funcionou, espero que tenha a mesma durabilidade, do anterior. 
Já trabalhei com aparelho do mesmo modelo era realmente muito bom. 
Esse é um pouco mais potente sendo 1050 w o anterior era 1000, e já fazia um bom serviço. Recomendo."
113,4,"O equipamento é muito bom. Poderia ser ótimo, se a lâmina abaixasse mais alguns centímetros. Para manter a grama apresentável faz-se necessárias cortar a cada 15 dias. Isso, poderia ser evitado se as laminas abaixassem mais."
114,5,Este cortador de grama é muito e a marca também. Já é o segundo  o primeiro que comprei durou 9 anos ótimo produto recomendo.
115,4,"Produto muito bom, poderia ser melhor com mais um nível de rebaixamento da lâmina para que o corte da grama fosse mais profundo. Gostei."
116,5,"Muito bom  faz. 
Menos barulho e i recolhedor de grama e muito bom não faz bagunça e nem precisa varrer a grama."
117,4,"Equipamento muito bom. Ressalto apenas que o encaixe da cesta coletora não é muito fácil ou seja, poderia ser mais acessível."
118,5,"Ótimo custo benefício, vem com detalhes para enrolar e prender os fios, o meu ainda veio com extenção de 10m."
119,5,"Cumpre o que promete. Para pequenos gramados, o encaixe do cesto coletor poderia ser mais fácil."
120,5,"Excelente. Apenas o repositório não é muito grande, mas já reduz o trabalho de rastelar."
121,4,Leve e ágil porém se a grama estiver alta o recolhedor enche rápido. Gostei.
122,5,Ótimo simples funciona perfeito. Única critica: o botão de acionamento parece bem frágil.
123,5,Muito bom cortador de grama ótimo custo benefício.
124,5,"Meu marido amou,trabalha sempre com a maquina."
125,5,O cortador de grama é muito bom.
126,5,Excelente forte recolhe muito bem gostei muito.
127,5,"Produto excelente, atende totalmente as minhas necessidades."
128,5,Muito bom o produto! vale a pena!.
129,5,Dentro do esperado. Atendeu as expectativas.
130,4,Bom atende a minha espectativa ótimo.
131,5,"Muito bom produto, atendeu minhas expectativas."
132,5,"Muito bom. 
Cumpre o que promete."
133,5,Por enquanto um ótimo equipamento.
134,3,"Produtor bom, nada de extraordinário."
135,5,Produto com bom custo benefício!.
136,5,Excelente cortador de grama. Adorei.
137,5,Muito boa qualidade. Recomendo.
138,5,Muito bom. Ótima qualidade.
139,5,Otimo. Recomendo.
140,5,"Ainda não fiz o galinheiro, mas abri o produto e estiquei um bom pedaço da tela e corresponde perfeitamente."
141,5,Bom produto. Correspondeu às expectativas. Serviu muito bem para cercar as árvores frutíferas que plantei.
142,5,"Muito bom, com a facilidade de usar as mesmas baterias em outras ferramentas da mesma marca e série."
143,5,Ferramenta muito útil para jardinagem. Evita o uso de escadas que podem nos causar acidentes. Ótima lâmina de corte e o comprimento do cabo está de bom tamanho.
144,5,Funciona muito bem já uso há anos.
145,5,O produto atendeu as expectativas.
146,5,"Muito facil de montar. Otimo resultado de corte. Leve e facil de manobrar. Arranque simples e sem falhas. Muito economico, pois com um tanque cheio (1 l) usei por 5 horas. O meu esta com apenas 5 horas de uso, porem estou contente xom o produto."
147,5,"Produto fantastico, facil de montar e usar!."
148,5,Excelente máquina. Atendeu as minhas expectativas. Vale a pena inclusive em razão do custo x benefício. Site confiável. Sem problemas. O produto veio faltando uma porca mais deve ter sido extraviado na viagem.
149,5,"Produto bom demais , impressionou. 
Corta a grana com facilidade , padronizada , simples demais , ficou super satisfeito. Profissional e resistente , recomendo."
150,1,"Muito bom recomendo,corto grama a anos ,mas com essa máquina ficou mais fácil é seguro ,exelente."
151,5,Excelente produto !!! podem comprar sem medo !!! é melhor que o esperado !!!.
152,5,Produto excelente! a máquina é muito econômica. Recomendo.
153,5,"Ótimo custo benefício, recomendo a todos."
154,5,Excelente produto muito bom funcionando em perfeito estado estão de parabéns.
155,5,"Muito boa, já vem regulada e bem ajustada. Adianta muito o serviço. Boa qualidade e bom acabamento. O que senti falta foi de uma lima, que poderia acompanhar. Fora isso, excelente ferramenta. Sabendo usar direito, não tem o que reclamar!."
156,4,"Máquina  boa. 
Aguenta  bem sim. 
Trabalha meia  hora com um tanque. 
Só  acho que joga muito óleo  na corrente, ou é  falta de regulagem sei lá. 
Mais é  boa sim."
157,1,O produto e muito bom gostei muito demorou pra pegar mas quando pegou fiz um teste com ele gostei e potente fácil de manusear.
158,5,"Estou muito feliz com ela, comprei por recomendação de meu amigo mecânico de 2 tempos, excelente máquina, vale muito mais que custa. Recomendo."
159,3,"Gostei, mas vaza óleo de lubrificação da corrente e fica cega com pouco tempo de uso."
