,score,comment
0,5,"Gostei muito. 
No meu caso poderia ser um pouco menor, mas atende bem."
1,5,Excelente material  tamanho muito bom.
2,4,"Gostei muito porem, deveria ter vindo com  4 rodinhas e nao so duas na frente este é o unico incoveniente da mala ja que é tao boa a mala deveria ter caprichado nas rodinhas e melhorado na qualidade colocando as rodinhas emborrachadas, pois fariam menos barulho caso queiram aprimorar o produto fica a dica."
3,3,"Produto muito bonito e elegante. Ainda não usei, mas já vi que veio com umas linhas soltas que precisei remendar. Quando utilizar, se não der nenhum problema, volto para subir a nota."
4,3,"Boa qualidade no geral, porém tem duas aberturas laterais com zíper que não tem muita lógica se eu utilizar o cadeado. 
Zíperes maiores enroscam um pouco, rodas barulhentas."
5,4,"Acreditava que a altura seria melhor, falhei, mas, dentro do esperado está muito bom. Acabamento muito bom. Volume da mala de mão melhor."
6,4,Gostamos da mala e da bolsa. O único senão é para as rodinhas da mala. As rodas são pequenas e muito barulhentas.
7,5,"Produto de ótima qualidade, dentro do padrão exigido pelas empresas de transporte aéreo. Muito bem acabada. Comprei a primeira,vou comprar outra."
8,5,"Recomendo, muito charmosa e espassosa, fiz uma viagem de aviao e levei as duas cheias sem precisar despachar."
9,2,"Mala boa, mas o lugar de pegar/carregar é um zíper. Arrebentou no primeiro uso."
10,5,Produto ótimo e bem acabado. Tamanho perfeito para levar na bagagem de mão do avião.
11,5,"Excelente qualidade, só gostaria de saber a senha do cadeado dele por gentileza."
12,4,"Amei o produto ,pensei bolsa era pequena,quando usa ela fica grande."
13,5,"Lindo amei produto de muita qualidade,,do jeito que queria."
14,2,O zíper da mala estragou com uma semana de uso.
15,5,"Como esperava mesmo, gostei. Resumi tudo em poucas palavras."
16,5,"Gostei , é exatamente como na foto. Correspondeu às minhas expectativas."
17,5,"Excelente mala de viagem, do jeito que eu queria."
18,5,"Maravilhosa. Amei. , forte e tem um acabamento perfeito."
19,5,Kit muito bonito e honesto pelo preço. Recomendo!.
20,5,Muito bonita e resistente  zíper de ótima qualidade.
21,5,Bom mas poderia ter rodinhas 360 graus.
22,1,Tá mala está com problema no zíper.
23,4,Material bom gostei muito só achei pequena.
24,5,"Excelente produto, ótimo qualidade. Muito bom mesmo."
25,5,"Ótimo material, muito bonito e forte , gostei."
26,5,"Cumpre o que promete, e bem resistente."
27,5,"Boa qualidade,resistência, praticidade e leveza."
28,4,Produto de otima qualidade amei!.
29,4,. Excelente qualidade. Atende as expectativas.
30,5,Gostei muitooooooooooooooooooooo.
31,5,Muito linda so nao veio igual a da foto.
32,5,Muito bonita a mala e a frasqueira.
33,4,"Bom, porém muito grande para a minha necessidade. Acho que a apresentação do produto deveria mencionar as dimensões."
34,5,Veio perfeita. Como eu imaginava. Funcionou para o objetivo que eu queria.
35,1,"Não atendeu a minha necessidade,tamanho fora de padrão, arrependido pela compra."
36,3,A mala tem um problema com as fechaduras. Não fecham muito bem.
37,5,"Boa qualidade, a mala é bem grande e funciona como esperado, recomendo."
38,4,Mala abs rigida tipo 007 com chave e segredo e divisorias.
39,5,Produto top recomendo a todos e o custo benefício muito bom.
40,5,Ótimo produto. Igual ao da foto. Material bom. Responde as expectativas.
41,5,"Otima, bem dividida grande o bastante."
42,5,Otimo produto recomendo a todos.
43,5,Perfeito. Atendeu minhas necessidades. Amei.
44,5,Excelente produto bom e barato.
45,5,Ótimo  muito grato pelo produto.
46,5,Excelente qualidade do produto recomendo.
47,3,"Ok boa, espaçoza."
48,4,Otimo custo beneficio.
49,4,Muito bom.
50,4,Mutito bom.
51,5,Muito legal!!!!!.
52,5,Legal.
53,3,Satisfatória.
54,5,Gostei.
55,4,Bom.
56,5,Ótimo.
57,5,Muito bom. Bem leve e prática.
58,3,"As malas parecem boas as minhas não tem a alça lateral das fotos, ainda não usei, as medidas são dentro da anac, a altura fica no limite de resto folga um pouco, o material parece bom, mas so com o uso pra ter certeza."
59,5,"Mala linda!!! muito espaçosa, acabamento refinado, ainda não usei para atestar a qualidade, mas visivelmente, amei."
60,5,Excelente mala de bordo. A santino como sempre com malas de alta qualidade.
61,5,"Eu simplesmente amei , a cor, tamanho, tudo como o esperado."
62,1,"Horrível, estou incrível tentando devolve lá e não estou conseguindo."
63,5,"Ótima qualidade, linda do jeito que está na foto."
64,5,"Otimo produto, de qualidade. Alem de ser bem bonita."
65,5,"A mala é bem bonita, parece ser resistente."
66,5,"Qualidade de primeira, super leve e bonita."
67,5,Gente produto de primeira qualidade recomendo.
68,5,"Amei , muito linda! otimo investimento."
69,5,Impecável. Linda. Material excelente.
70,5,"Excelente qualidade, mala linda."
71,5,Linda mala bem espaçosa. Adorei.
72,5,"Muito linda, a cor é  perfeita! para quem quer comodidade em viagens curtas, a mala é ideal!."
73,5,"Linda, bem acabada, divisoes otimas e tamanho excelente para bordo! ja quero outra!."
74,5,"Produto de ótima qualidade, vale o custo benefício."
75,5,Produto de ótima qualidade e exatamente conforme anunciado.
76,5,"Mala ótima. Resistente, bonita, com boas divisórias."
77,5,Ótima qualidade!!! além das minhas expectativas!!!.
78,5,Gostei veio como esperava linda recomendo.
79,5,Ótimo produto. Adorei. Excelente qualidade.
80,5,"A bolsa é linda! e de ótimo material, porem veio com a alça de pendurar dentro da mala e com a borracha que a prendia derreteu e marcou a alça. Mas compraria novamente pela qualidade."
81,5,"Ótimo produto! tem o que promete, boa qualidade dos materiais, tmb é estilosa."
82,5,Belíssima!!!amei. Recomedarei para todos aqueles de bom gosto.
83,5,"Top muito bonita , eu particulamente eu gostei, eu recomendo."
84,3,A alça veio manchado  com gotas de tinta.
85,5,Produto muito bom adorei  parabéns mercado livre.
86,5,Já é a terceira que compro. Tenho duas pretas agora comprei a rosê. Toda a família usa. Muito boa !.
87,5,"Maravilhoso, e igual da foto. Recomendo !."
88,5,"Recomendo! achei bem resistente, mais bonita que na foto até. Por dentro o forro tem uma camada de manta fina, achei bem legal. Parece pequena mas cabe bastante coisa. A única coisa é que achei a alça de puxar um pouco frágil e bamba se você abre ela toda, mas é só ter cuidado ou usar sem abrir toda para não quebrar."
89,5,"Muito surpresa com a qualidade da mala. Não conhecia a marca e vi em praticamente todos os e-commerces confiáveis, inclusive, no site ofical da loja, mas como não conhecia não comprei. Com a promoção, valeu assumir o risco e não me arrependo. Não tem um acabamento de milhões mas atende muito bem a proposta de ser uma mala de bordo."
90,4,"A qualidade é muito boa, porém eu diria que ela fica entre o tamanho pp e o p, é pequena, um pouco abaixo do limite de mala de bordo. A rodinha dela por ser bem baixa também atrapalha um pouco a mobilidade. Mas pelo valor acredito que valeu a compra."
