,score,comment
0,3,"As arandelas são lindas, porém estetica não é tudo. O acabamento deixa muito a desejar, chegaram muito mal embaladas, soltas e em saco plastico (um produto com vidro em saco plastico. ) uma arandela para ser utilizada em area externa, os vidros tem frestas enormes onde a agua da chuva pode entrar e queimar o produto, sem falar que elas chegaram algumas com o vidro soltando, e outras com o vidro completamente soltos. Terei que gastar mais para ajeitar uma coisa que por obrigação deveria ter chegado como no anunciado. Eu sinceramente, nao compraria novamente pela falta de comprometimento com o consumidor que ta pagando caro por um produto que deixa a desejar."
1,5,"Produto ficou lindo na parede, agora começará a chuva e poderei melhor avaliá-lo se realmente é para área externa ou não, contudo muito fácil de instalar e muito bonita. Amei."
2,3,"Produto é até bom, mas veio com furacões erradas, nem sei como vou instalar ainda, preciso fazer direto na parede, não fixa na caixa de energia padrão de tomadas."
3,5,"Produto muito bom! só em uma parte do corredor, que no meu caso, seria necessário lâmpadas mais fortes (considerando altura até o chão e distância entre elas)."
4,4,"Muito bonito, otimo acabamento! apenas fica aberto nos fundos, podendo entrar bichinhos. Se fosse fechado, seria perfeito! mas o produto é ótimo! muito boa compra!."
5,5,"Ótimo acabamento, já está instalado há uns dois meses e está no tempo, nenhum problema apresentado neste tempo, lâmpada também está ok. Super recomendo!."
6,5,Já comprei e comprei de novo. E vou comprar mais amei super fácil de adaptação perfeito fica o ambiente.
7,1,"Produto ate esta ok, mas veio na cor errada, fiz conforme fui orientado e ainda assim veio errado."
8,5,"Ficaram lindas, um efeito bacana na parede. Para decoração e não para quem quer iluminar eu recomendo."
9,3,"Arandela simples, com pouca luminosidade. Apenas decora com uma iluminação bem fraca. Quase não se destaca."
10,5,Produto de boa qualidade e bem bonito. Perfeito para o que queria no meu ambiente.
11,5,"Boa apresentação, boa qualidade, mas ainda não pude instalar para emitir uma opiniai mais clara."
12,2,Produto bonito. Porem porcaria. Todas as 3 arandelas que comprei estao descolando os vidros.
13,5,"Produto muito bom, veio dentro do praso e está funcionando bem , atendeu minha nessecitade."
14,5,"Produto bem acabado e de fácil instalação. 
Cria um efeito na iluminação muito bonito."
15,4,Produto bom de mais que as lâmpadas nao veio de 5w veio 3. 5w.
16,5,Muito linda amei !!! não clareia muito mas da um belo efeito na parede.
17,4,"Muito bonito como na foto,o encaixe da led veio com defeito."
18,5,"Maravilhosas, comprei 11 unidades, fiquei maravilhada com os efeitos delas a noite."
