,score,comment
0,4,Material atendeu as minhas necessidades.
1,5,Gosto da qualidade deste material.
2,5,Produto de excelente qualidade. Produto acima das expectativas.
3,5,O produto foi como eu esperava.
4,5,Muito bom.
5,1,"Arendimento péssimo!!! escolhonas cores q precisava e mandaram tudo errado. Demoraram para responder minha reclamacao. Só nao devolvi pq peecisei usar uma das folhas. Cuidado!!!! nao adianta escolher as cores, mandam qq uma."
6,5,"Excelente!!! eu estou apaixonada tanto com a qualidade, quanto com a gramatura do papel. Chegaram com todo cuidado!!! parabens."
7,1,Veio um monte de papel pequeno semelhante a cartolina. Não tem nada de laminado nesse papel.
8,1,"A folhas vieram com muitas marcas, não estão lisinhas como em outros lugares que ja comprei."
9,4,"Adorei as cores, super vibrante so não  dei 5 escrelas pq o dourado veio arranhado."
10,5,Qualidade excelente superou minhas expectativas os papeis sao lindos e de otima qualidade!.
11,5,"Lindo e ótima qualidade, firme, as minhas rosa ficaram lindas nessas cores."
12,5,"Lindas folhas! excelente qualidade, brilho ótimo e gramatura ideal para mus trabalhos."
13,5,Cores lindas e bem brilhantes. Papel com a gramatura anunciada. Amei.
14,5,São lindas! amei as cores e são de ótima qualidade.
15,5,"Como eu precisava, vai me ajudar com meus produtos."
16,5,De muito boa qualidade atendeu com perfeição minha necessidade.
17,5,"Amei os papeis, fiquei impressionada com a qualidade."
18,5,"Produto de qualidade, quantidade correta, atendeu ao esperado."
19,5,Otima qualidade e dourado em um tom bonito.
20,5,Papéis lindos e de ótima qualidade! recomendo!.
21,5,"Muito bom, sensacional. Produto de boa qualidade."
22,5,"Material perfeito, de ótima qualidade. Super recomendo."
23,5,Amei o produto. Em breve pedirei novamente.
24,5,Veio tudo certinho. Porduto de qualidade.
25,5,"Excelente produto, papel de ótima qualidade."
26,5,"São perfeitas as cores,amei??. 
Recomendo."
27,5,Papel de qualidade com cores vibrantes.
28,4,Recomendo. Boa qualidade e gramatura.
29,5,"Lindas cores , e ótima qualidade."
30,5,Amei produto de exelente qualidade.
31,5,"Papel laminado, formato a4, 250g!."
32,5,Preço justo e ótima qualidade!.
33,5,Quanto ao produto e excelente.
34,5,Material perfeito ???? estão de parabéns.
35,5,Boa qualidade e cores bonitas.
36,5,"Otimo produto, gostei bastante."
37,5,Produto de qualidade excelente.
38,5,"Super satisfeita, muita qualidade."
39,5,"Papel de muito boa qualidade fica as sublimacoes muito boas, nada que reprochar do produto."
40,3,Da pra usar. Fica muita marca de rolete. E a tinta nao transfere muito.
41,5,"Papel fundo azul não tem erro né, sempre top =)."
42,5,"Ótimo papel, sempre uso e sempre compro, o melhor."
43,5,"Produto com a qualidade esperada, muito bom."
44,5,"Papel sublimatico de otima qualidade. 
Estou satisfeito."
45,1,"Ruim, a impressão está  saindo manchada."
46,5,Excelente produto superou minha espectativa.
47,5,Gostei e recomendo otima qualidade.
48,5,"Papel de qualidade, meu trabalho fica perfeito, eu recomendo!."
49,5,Ainda não usei mas a gramatura e boa.
50,5,"Muito bom,produto barato e de boa qualidade!."
51,3,"Bom gostei,apenas mais fino do que pensei."
52,5,Muito bom este papel. Gostei demais da qualidade!!!.
53,5,Folhas com a gramatura e otima qualidade.
54,3,Gujnhyhh hubuu uhhb ubh yvhyhhyujjh ubhhbhhhyhh.
55,5,"Ótimo,me surpreendeu,muito bom mesmo."
56,5,Muito boa file do boiiiiiiiiiiiiiiii.
57,5,Excelente produto. Super indoco!!.
58,5,"Produto excelente, ótima qualidade."
59,5,Muito bom. Produto excelente.
60,5,Excelente atendeu minhas necessidades.
61,5,Ótimo produto. Adesivos de alta qualidade.
62,5,Recebemos conforme especificado. Satisfeito.
63,5,Funciona certinho na balança caso sua balança fique jogando farias etiquetas fora é só calibrar a balança.
64,5,"Produto muito bom. Muito satisfeito com a compra, tamanho perfeito na prix 4 uno."
65,5,Muito bom. Superou minhas expectativas até agora o melhor que usei.
66,5,"Produto muito bom,sem contar o preço que é ótimo também."
67,5,"Muito bom, apenas deveria ser um rolo maior com 800 etiquetas."
68,5,"As etiquetas deram certo na balança, não tive nenhum problema."
69,5,"Produto 100%!!recomendo,ótima qualidade vou voltar a comprar."
70,5,Térmica de boa impressão. Não solta muito pó.
71,5,"Produtos dentro do padrão, atendeu todas as necessidades."
72,5,O produto era exatamente o que eu procurava.
73,5,As etiquetas são muitos boas ótima qualidade.
74,5,"Muito bom, recomendo a todos do ml."
75,5,Produto bom recomendo perfeito pra minha balança.
76,5,Produto bom e com preço honesto.
77,5,Bom produto de alta qualidade recomendo.
78,5,Funcionando perfeitamente na minha prix3.
79,4,"Ótimo produto, excelente custo beneficio!."
80,5,Boa qualidade gostei muito recomendo.
81,4,"Bom custo benefício, boa etiqueta."
82,5,"Produto atendeu minhas necessidades, recomendo."
83,5,"Produto como descrito, qualidade boa."
84,5,Produto de excelente qualidade.
85,5,Bom e barato.
86,3,A impressão não é boa! mas o tamanho do adesivo ficou bom.
87,5,"Gostei muito, feito conforme solicitei."
88,5,Excelente!!! atendeu minhas expectativas e facilita a vida de artesã.
89,5,Muito bom e pratico. Corta até rigidos de 1mm.
90,5,Otimo qualidade superou minha espequitativa.
91,5,"Ótimo, estampas lindas! material bom."
92,5,Lindíssima. Estou apaixonada.
93,5,Top demais.
94,5,Muito bom pra ser sincero não acreditava que ia fazer adesivos em casa com tanta qualidade só o valor que é um pouco cara para fazer para revenda é meio complicado. Mais a qualidade é 100% em 200 graus 40 segundos.
