,score,comment
0,2,"Relogio vendido como produto feminino, porém a pulseira teve que ser diminuida em 4 estagios, da forma original serve em um homem grande. 
Visor não ilumina no escuro, dificultando a leitura fora de ambiente claro. 
Mostra apenas a hora, calendario fraco. 
Material de boa qualidade e boa aparencia."
1,2,"Gostei do produto. Porem parece que ja era usado, com uma semana de uso ja tive que trocar a pilha."
2,3,"Infelizmente a luz para clarear o relógio não tem , caso esteja no escuro não tem como ver as horas."
3,5,Lindo e resistente. Minha esposa ficou com ele na piscina o dia todo e aguentou perfeitamente.
4,5,Lindo! super elegante e charmoso ! bem leve também e os numeros ficam bem iluminados a noite !.
5,5,"Excelente ,ja tinha um da mesma marca e amei esse também."
6,5,"Dei de presente à minha esposa, e ela amou."
7,4,"Produto bom, pensei ser menor,mas gostei."
8,5,Muitoo lindoo gostei muitoo igualzinho na foto.
9,1,Muito lindo mais do que eperava.
10,5,"Amei, lindo recomendo o produto."
11,5,Belíssimo com material de primeira.
12,4,Muito bom exelente recomendada ótimo.
13,5,"Perfeito! obvio que não vale o preço cobrado, mas para quem quer ter um desse, deve se levar em conta o preço brasil, com nossa alta carga de impostos!. 
Para quem tiver o braço mais grosso, creio que será melhor o de 44mm pois este é pequeno, apesar do belo display!."
14,5,"Produto muito bom, vale o preço pago, por mais que seja caro!. 
O touch é muito bom, nao tem atraso. As funcionalidades parecem ser desnecessarias no começo, mas voce nao vive sem depois kkk. Por exemplo, desligar o alarme do celular pelo relogio, ou ainda, tirar uma foto/video no celular utilizando o relogio. 
Enfim, tem muitas funcionalidades! ate pra quem gostaria de utilizar para esportes, é um bom produto! eu gosto muito de correr, e o gps funciona muito bem sem o celular!. 
Vale a pena, mesmo levando em consideracao o preço!."
15,5,"Como todo produto da apple vale a pena cada centavo! o relogio superou minhas expectativas. Eu aconselho quando comprar o relogio tambem adquirir a fonte. Uma observacao importante é que ele só carrega com a fonte original da apple. Eu tinha aqui uma ""compativel"" e o relogio não reconheceu, portanto não carregou. O relogio é maravilhoso! excelente custo beneficio! muitas funcionalidades, prático, completo, enfim,. Amei!!."
16,5,"Um dos melhores preços no mercado atual, podem comprar sem medo. Muito satisfeito!!!."
17,5,"Espetáculo! bateria dura  omdoa todo e sobra. Carrega em menos de uma hora. Quanto a beleza e performance, é o que se espera de um top de linha."
18,5,"Otimo produto, recomendo e o preco comparado as lojas eo mais em conta, tive dificuldade pra mexer no começo kkk mais esta otimo. Quem comprar so uma dica quando for emparelhar no iphone nao mexer no iphone e nem no relogio deixa no carregador porque eu fiquei mexendo e deu ruim nao conectou direito e ja fiquei doido nem ativou a garantia da apple ai ja fiquei da aquele jeito kkk depois vi um video e voltou ao normal."
19,5,"Não há o que falar né, os produtos da apple impressionam pela qualidade e desempenho. Simplesmente perfeito!. 
Apenas um ponto, o carregador possui entrada tipo c, caso tu possua um carregador antigo do iphone vai precisar comprar um fonte para com este tipo de entrada."
20,5,"Muito bom! bateria dura da noite de um dia, até a noite do próximo. As funções de exercícios físicos são precisas (ex: na esteira marcava 1 km, no relógio marcava também, apenas contando os passos). A tela de 41mm combina com braços mais finos (o meu tem 18cm de perímetro). A tela é grande o suficiente para que você tenha precisão na digitação. Possui muitas funções úteis! recomendo a compra."
21,5,"Sensacuonal! produto original, veio todo lacrado. O relogio e fantastioc, inumeras funções, tela dinamica, excelente!!! apple sendo apple!! so me arrependo de nao ter comprado antes. O uncio ponto negativo e a bateria que dura em media 1 dia, pelo menos pra mim que sempre uso a funcao de exercios fisicos, entao acaba consumindo mais!."
22,5,"É perfeito. O produto nao decepciona, a originalidade é emocionante. Meu primeiro da apple. A bateria dele considerei boa visto que eu deixei tudo ligado pra ver o quanto consumia, e ao final do dia precisei carregar tanto celular quando o relogio. Claro que se omitir algumas funcoes da pra consumir menos bateria. O que pra mim é aceitavel pra tecnologia que ele carrega. Ele te matem ativa, avisa pra lavar as maos kkk, dentre outras milhares de funcoes que vs acha na internet. Esse veio com duas pulseiras (mesma cor) de tamanhos diferentes o que foi otimo, pq meu punho é pequeno. A nota fiscal é eletronica, pode ter acesso aqui pelo app mesmo. O carregador é tipo c, quem nao tem a fonte vai precisar comprar, eu uso a do meu do 11 kkk. Ah e da pra responder as notificacoes dos app (whats app, insta, telegran) pelo relogio mesmo, vs visualiza e clica pra responder e automaticamente abre o audio e vs pode falar que o relogio digita ai e so enviar. E tem msg pronta tambem que podem ser enviadas. Isso foi perfeito. Faz ligacao do watch tambem. No mais é isso!."
23,5,"Maravilhoso! ja tive o series 3 e de longe esse ganha. Tela, bateria e processamento. Vale cada centavo!."
24,5,"Excelente produto. Original, veio lacrado e com nota fiscal. Vale cada centavo pago."
25,5,"Maravilhoso! auxilia nos exercicios, no dia a dia, controlo as notificações e spotify, maps, sem tirar o iphone da bolsa, ate o airpod sincroniza com o watch e o iphone, pra quem usa produtos apple a interação entre eles é perfeita!."
26,5,"Foi um bom upgrade com respeito à versão 5. O que me motivou a comprar a versao 7 foi a bateria ruim do meu apple watch anterior, pois com o tempo ja nao aguentava um dia sem carga. O aumento da tela da versao 5 para a 7 é pequeno, mas é relevante, da para ler mais facilmente. O oximetro é bem vindo também."
27,5,"Meu primeiro apple watch e estou amando a experiencia, principalmente para realização de exercícios, tarefas do dia a dia como lembretes, visualização rápida de mensagens sem precisar pegar o celular. Durmo com ele e é meu despertador tambem. Super recomendo para quem deseja um amigo direto no pulso!."
28,5,"Produto muito bom!. 
Superou minhas expectativas. 
O preço não é muito convidativo mas vale cada centavo. 
O produto tem uma ótima integração com os outros produtos da apple principalmente o airpod."
29,5,"Tem app de tenis , cumpre o que promete, precisa fazer cirso para saber tudo que ele faz."
