,score,comment
0,1,"Difícil de mexer para idosos, não capta sinal na região q moro (itanhaem sp). Bateria de curta duração. 
Estou arrependido da compra. Fiz teste com outros aparelhos similares e funcionaram perfeito. O multilaser não pega em lugar nenhum. 
Produto de baixa qualidade. Não recomendo comprar."
1,1,"Acredito que o produto não seja original. 
Em contato com a multilaser, algumas configurações no aparelho não correspondem ao que consta no manual. 
Ou seja, o manual é uma coisa, e a navegação no aparelho é outra. 
A multilaser sugeriu devolver a compra."
2,2,"Aparelho simples, atende as necessidades. Unica coisa ruim é que não da para trocar a opção do toque. Toda vez que alguém liga, primeiro fala o numero de quem está ligando para depois tocar. Outra coisa, nao da para tirar o volume das teclas. Toda vez que disca, fala o número que está digitando. Já tentei de todos os jeitos trocar a configuração, mas não consegui."
3,2,"Quero minha nota fiscal do produto. Outra coisa, o telefone vem com uma voz que fala o nr do telefone antes do toque se chamada que você não consegue tirar. Se você acionar o site do produto para saber como tirar essa voz você tem que ter computador ou norebook, se não  tiver você  tem que sair da sua cidade e ir para outra para que eles coloquem só o toque e se você não tiver a nota fiscal (como não veio junto com o telefone que comprei) você além do deslocamento ten que pagar de 20,00 a 50,00 reais para colocar somente o toque de chamada no telefone. Não recomendo a compra."
4,2,"O celular é o que eu comprei,  só que quando uma pessoa liga, aparece o telefone e uma voz dizendo os números,  só depois é que ele toca. Tentei de todas as formas tirar esta função  e não consegui. Liguei pra assistência técnica e também não conseguiram me ajudar. Porque não foi comprado deles."
5,5,"Muito bom, agradeço pela qualidade do produto, super recomendo. Porem só um detalhe: no manual não consta como ir em configurações pra mudar as configurações padrão, como hora, data, etc. Pra poder mudar as configurações vc tem que pressionar o botão do meio e em seguida mover pra cima pra ir alternando entre as opções (aplicativos, mensagens, configurações, etc), tive que descobrir isso pelo youtube. No mais ele é muito bom e atende perfeitamente minha necessidade. Que é somente a de ter um telefone pra chamadas e coisas super básicas."
6,3,"É o terceiro celular deste tipo que tenho. Mas ele sempre me deixa na mão  - não permitindo que eu ouça quem me ligou. 
Já pensei em ligar para a vivo e reclamar. Mas talvez seja o excesso de ligações nestes tempos caóticos;. 
O aparelho em si é bom. 
Marina c. Brenner."
7,1,"Não é o mesmo produto da imagem, eles são diferentes, comprei para minha avó, eu queria o que viesse com botão verde e vermelho, um pra ligar o outro para desligar a chamada, isso iria facilitar pra ela fazer ligações, o que está na foto mostra botão vermelho e verde, no entanto o que veio é outro modelo, além de não vir munido dessa opção, o botão de sos é vermelho, e pequeno, diferente do anunciado."
8,5,Produto bom só estou sem usar ele pois ele tem 4 terminais e o chip tem treis  pontos não casou ai´estou sem usar  mais tudo bem vou ver o que faço eu enserir ele aii disse para mim enserir o chip. Tudo certo agradeço atençaõ.
9,3,"O tamanho dos números é bom e o fato dele falar os números também. É bem leve também. 
Mas é bem chato para configurar, não consegui achar ainda como colocar o número que acionará quando apertar o botão de emergência, não tem como configurar o desbloqueio para ser utilizando uma tecla só. Não achei tá prático assim para pessoas idosas que não tiveram acesso a tecnologia, como o meu pai, por exemplo."
10,5,"Produto excelente pra quem quer algo simples e prático de utilizar!. 
Muito fácil de manusear e ótimo pra quem tem dificuldade com os celulares mais tecnológicos. 
Este é ideal pra quem procura algo do tipo!. 
Comprei pra uma tia e ela amou!!!! recomendo a todos!!!."
11,3,"Atendeu em várias coisas, de acordo com as descrições do produto. Porem quando fui agendar os contatos só consegui escrever nome de tres contatos, a partir daí os próximos agendamentos ao invés de letras só aparecia números. Fiquei meio decepcionada pois comprei-o para presentear, assim sendo fiquei até sem graça com a pessoa presenteada. 
O que vocês podem fazer por mim neste caso?."
