,score,comment
0,1,"O anel de vedação é descartável, isso mesmo, nem lavar pode. Um absurdo. Mas tirando isso é um ótimo produto."
1,5,De boa qualidade e são  de tamanhos muito bons.
2,5,Eu adoro esses potes de vidro ! obrigada.
3,5,Ótimos! comprarei mais desses.
4,5,"Produto excelente, de boa qualidade e resistente."
5,5,"Amei as taças de sobremesa, são lindas e super elegantes, chegaram super rápido e em perfeito estado."
6,5,"Preço acessível, resistente, bonito, com grande capacidade para uma taça de sobremesa. Uma boa escolha."
7,5,"Amei as taças para sorvete , ou doces. Indico. Tamanho ótimo e linda. Amei."
8,5,Lindo. Da um charme e elegância perfeita em sua mesa.
9,5,Ótimo produto! é linda e maior que eu imaginava.
10,4,"Boas taças, transparentes e bem acabadas, com  preço excelente!."
11,5,"Excelente!!! ótimo preço, tamanho perfeito, peças de primeira linha!!."
12,5,"Tamanho perfeito para sobremesa ou sorvete, muito linda!."
13,5,"Lindíssimo o jogo de taças, chegaram perfeitas."
14,5,Adorei o produto. Como imaginava.
15,5,"Maravilhoso. Comprei e amei, recomendo."
16,5,Muito bom produto recomendo muito.
17,5,Produto de excelente qualidade.
18,5,Produto de qualidade excelente.
19,5,"Simplesmente maravilhosa, lindas."
20,5,"Produto muito bom, satisfeito. E recomendo."
21,5,"Os pratos são maravilhosos aliás todos os produtos da casa ferrari são maravilhos, já comprei diversos modelos de pratos  de pratos e chicaras e amei todas as compras , podem comprar semedo ,são de muita qualidade mesmo."
22,5,Sao lindos e imensos!! quase uma travessa de tão grandes. Perfeito no acabamento e serão a estrela da mesa.
23,5,"Simplesmente amei, produto de ótima qualidade, muito bem acabado nos detalhes. Tamanho perfeito condiz com o anunciado. Recomendo!!!!."
24,2,"O produto é lindo, mais aranha muito. Os meus tive o maior cuidado e estou com 2pratos aranhados e nem usei ainda, só lavei com o lado amarelo da bucha."
25,5,Acho lindo está  louça produto bom a mesa fica linda posta com estes pratos.
26,5,"Recomendo,lindas peças,vou comprar o de sobremesa agora lindo mesmo,sempre tive vontade de comprar,agora realizei."
27,4,"A cor da foto está mais para tonalidade azul. Porém os pratos são mais verde água , porém são lindos do mesmo jeito !."
28,5,"Excelente produto, lindo!!! veio em uma caixa, todo protegido."
29,5,Os pratos são maravilhosos. Amei. Quem tevur vontade de comprar pode comprar eu recomendo.
30,5,"Excelente produto. Além da qualidade e da forma geométrica diferenciada, temos que destacar o requinte visual que a cor empresta ao produto."
31,5,"Muito bom, os pratos são lindos."
32,5,Pratos lindíssimos e de qualidade. Não quebram fácil e o desenho é lindo. Recomendo.
33,5,"Amei!! os pratos são lindíssimos!! a cor é um preto brilhante, não fosco. Do jeito que eu queria! ótima qualidade."
34,5,Moito bom adorei shows de bola eu recomendo.
35,5,"Lindos, lindos e limdos. 
Perfeitos, delicados, deixa a mesa super londa. 
Amei!. 
Grandes, do jeito que eu vou procurava."
36,5,Ótimo  produto. Gostei muito. Vale apena comprar.
37,5,"Essa compra veio complementar um aparelho de jantar com pratos quadrados e são da mesma qualidade, portanto fiquei satisfeita."
38,5,"Muito satisfeito!. 
São lindos! otimo custo benefício."
39,5,"Produto excelente! bonito, facil, pratico, vale a pena comprar todo o conjunto. Possuo todo o conjunto e é maravilhoso."
40,5,Maravilhoso amei pd comprar q e lindo.
41,5,"Muito bonito ,eu amei. Acho que minha mesa vai ficar show de bola na hora da comida."
42,5,Excelente! muito bonito e de ótima qualidade.
43,5,"Eu já tinha esse prato, particularmente acho muito pesado. Comprei para completar o conjunto. Qualidade impecável."
44,5,Otimo amei muito bom e bonito.
45,5,"Amei demaisssss, os pratos são lindos e sofisticados. Já quero comprar o conjunto na cor preta!."
46,4,Achei bonito. Mas muito pesado.
47,3,Não foi o esperado. O desenho parece colado e não tem acabamento e parece velho.
48,5,Produto de ótima qualidade. Recomendo!.
49,5,Bonito e de boa qualidade para pintura de porcelana ou para uso sem pintura.
50,5,São lindos e excelente qualidade.
51,5,Muito boa qualidade minha esposa amou lindo maravilhoso moderno com um acabamento impecável.
52,5,"Lindo de ótima qualidade, adorei."
53,5,"Estavam bem embalados com. Todo cuidado , e era do jeito que eu esperava."
54,5,"Pratos lindos!!! grandes!!! elegantes!!!! chegaram em perfeito estado , sem nenhum dano! super recomendo."
55,5,Excelente qualidade. O tipo de prato que desejamos para comer as melhores refeições.
56,5,"Maravilhoso, veio com pequenas ranhuras mas pequenos. O prato em si e ótimo."
57,5,"São bonitos, resistentes e enormes. Kkkkkk. 
Pena que não cabem no microondas."
58,5,"Os pratos são lindos, deixou a mesa mais arrumada para o jantar."
59,5,"Produto de ótima qualidade, exatamente conforme anunciado. Recomendo a todos do ml."
60,5,Eles são lindos amei era o que eu estava procurando apaixonada.
61,5,"Produto muito bonito, vieram muito bem embalados, um a um, recomendo!."
62,5,"Gostei, satisfatório são lindos, um pouco caro mais vale a apena!."
63,5,Bonito grande visual lindo ao servir as refeições recomendo é show.
64,5,"Maravilhoso esses pratos, gostei demais, compraria mais se tivesse em estoque."
65,5,Lindos!!! os pratos são muito bonitos e são bem grandes tambem!!!.
66,5,"Muito bom. 
Gostei muito corresponde a minha expectativa. Ótima  qualidade."
67,5,Produto excelente ele é bem melhor do que eu pensei.
68,5,"Gostei muito dos pratos, fortes, grandes e bonitos. Ótima compra!!!."
69,5,"Lindos, maravilhosos. A mesa ficou mais bonita com os pratos."
70,5,"Ótimo, muito lindo adorei bem do jeito que eu esperava."
71,5,"Lindo demais! alta qualidade, com certeza vou comprar de novo!."
72,5,Produto de excelente qualidade. Vale muito a pena comprar.
73,5,"Gostei do produto, cumpre o que promete, bem bonito."
74,5,"Lindo, grande, sofisticado, deixa a refeição ainda mais gostosa."
75,5,"Eu amei, é grande e muito bem acabado. Lindo!."
76,5,"Ótimo produto, ótima qualidade e exatamente conforme a descrição."
77,5,"Lindos,de ótima qualidade,recomendo a tds do ml."
78,5,Ameiii sao lindoss super recomendo quero comprar uns fundoss.
79,5,Muito bom o produto por isso dei cinco estrela.
80,2,"Lá produto com  irregularidades , não sendo um quadrado pleno,."
81,5,São lindos e enormes ?? podem comprar sem medo.
82,5,"Excelente muito espaçoso,produto de boa qualidade, recomendo."
83,5,Igualmente o da foto. Muito lindo super recomendo.
84,5,Muito lindo amei são bem grande uma maravilha??.
85,5,"Vale a pena comprar, produto de excelente qualidade."
86,5,Os pratos são lindos!!! vieram bem embalados. Adorei !!.
87,5,Muito bom mega feliz com minha conpra perfeito.
88,4,"O produto é bom, atendeu as minhas espectativas."
89,5,"Ótimo produto ,muito bonitos e fortes ,recomendo."
90,5,Completamente apaixonada sao lindos de otima qualidade!!!!.
91,5,"Perfeitos. Muito obrigada. 
Completou a minha coleção."
92,5,"Muitoo lindo, super elegante e ótimo acabamento!."
93,5,"Muito bom o produto , fiquei muito satisfeita."
94,5,"Lindo, superou as minhas expectativas. 
Super recomendo."
95,5,Pratos lindos amei. Super recomendo a todos.
96,5,Maravilhoso eu fiquei muito feliz.
97,5,Otima qualidade!! super indico.
98,5,"Muito bom, bonito e perfeito. Melhor do que imaginava. Meu copo titular agora."
99,3,"Nao veio o copo q pedi,queria esse da foto."
100,5,Um dos melhores copos que tenho!.
101,2,"Esteticamente o vidro é grosseiro. 
Pelo valor pago, ok, blz. 
Se você não liga pra beleza e só quer a taça para fazer uns bons drinks. 
Então é essa mesmo. 
Mas se além dos bons drinks você estiver procurando algo bonito. Aqui não é seu lu."
102,4,"São grandes e de um vidro bem grosso. Pra quem gosta de taça resistente, é excelente. Eu particularmente prefiro mais fina por questões de estética, mas essas me atenderam bem."
103,3,"Duas taças, uma mais resistente o vidro material, mais grosso e a outra mais frágil, mais fino o vidro, porem fiquei com as duas mesmo assim, tamanho grande e bonitas."
104,5,"As taças são muito resistentes, diferentes do que eu já tinha visto. Algumas são finas que se for brindar parece que vai quebrar. Essas não, são ótimas."
105,5,São bonitas e não tem cara de que qugram fácil pois o vidro é bem espesso.
106,5,"Amei minhas taças de marguerita, um produto de ótima qualidade, estou satisfeita com essa aquisição."
107,5,São lindas! comprei para complementar um presente que comprei para meu esposo e ele amou!.
108,5,"Lindas taças e de excelente qualidade, vidro grosso e vieram super embaladas!."
109,5,"Adorei as taças, tem um bom tamanho e não são frageis."
110,5,"Gostei. Bonitos, vão servir para servir drinks e sobremesas tb."
111,5,Produto muito bem acabado e resistente. Ficaram lindas na cristaleira.
112,5,"Adorei,sao lindas bem como imaginei. Com certeza vou indicar!."
113,5,Perfeitas!!! otimas taças!  são lindas e de primo e qualidade.
114,5,Perfeito exatamente como na imagem e do bares por aí.
115,5,"Muito boa, do jeito que eu queria. Ja estou usando."
116,5,Boa qualidade e atende ao que se propõe. Recomendado.
117,5,Muito resistentes. Lindas e exatamente como na foto. Recomendo.
118,5,"Ótimo produto. Lindas. 
Não tenho o que falar mais."
119,5,"Chegaram super bem embaladas, são bem grandes, lindas! adorei!."
120,5,"Limda perfeita. 
Tamanho otimo. 
De boa qualidade, amei."
121,5,"Taça maravilhosa, ótima qualidade e minhas entidades gostaram."
122,5,"As taças sãos lindas, chegaram muito bem embaladas."
123,2,"Vidro muito grosso, perdeu o encanto da peça!."
124,5,"Produto com muito bom acabamento, bonito e resistente."
125,5,"Lindas as taças, chegaram super embaladas, sem problema."
126,5,"Produto excelente, bem melhor do que eu esperava."
127,5,"Chegaram perfeitas! nenhuma quebrada, bem embaladas! são lindas!!."
128,5,Muito bonitas e com o preço muito acessível.
129,4,Bom produto. Taças bem acabadas e bonitas.
130,4,Meus clientes gostaram muito dei de prsente.
131,5,Sao lindas! sao bem grossas. Gosteo mto.
132,5,Ótimo comprarei mais. Qualidade incrível nem esperava!.
133,5,Taças de vidro grosso e muito bonita.
134,5,"Otimo produto gostei muito, vidro bem resistente!."
135,5,Maravilhosa taças material muito resistente recomendo 100%.
136,5,Gostei bastante! e um vidro bem resistente.
137,5,Linda e de boa qualidade  super indico.
138,5,Produto de boa qualidade e muito bonito.
139,5,Lindas!!! já estreiei com uma deliciosa marguerita!.
140,5,"Lindas, quem ganhou amou o presente."
141,5,Otimo  parabens gostei muito  perfeita maravilhoso.
142,5,Exatamente o que eu queria. Legal.
143,5,"Elas sao lindas, e bem grande."
